estp
제목
infp 랑 연애하는데 발암 오지는데 헤어지긴싫음
estp=인싸라는 애들 볼때마다 화남
유형 부심 가장 ㅈ되는곳 
엣팁형둘 생일선물로 받고싶은거 
근데 진심 inxx인 사람들은 무슨 생각하고 사는지
나 estp인데 enfp랑 사귐
19) 고닉 파리단 애비 정액도둑.....gif
엣팁갤 글 많이 올라오면 좋겠다
엣팁근자감높다는데
나 오늘 어떤사람 봤는데
근데 난 estp치고 찐따인지
엣팁갤 ㄹㅇ
상남자들의 세계.gif
엣팁 유쾌하고 개썅마이웨이 다 좋은데 
ㅎㅇ
엣팁은 고민상담해주면 안될듯
N인간 ㅈㄴ 싫다
님즐어장관리함??
이 사람 엔팁은 아닌것 같고 엣팁으로 보임?(아래 유튜브 링크 길게 누르
인프제 인데 내 주변 ESTP들 하고는 사이 ㅈㄴ 안좋은데
estp남들아 isfj녀랑 잘 맞음?
Estp이 (이성적으로) 좋아하는 성격은 어떤 느낌임?
유사과학 쳐믿는 병신 고닉 파리단이라고 아심??
호그와트 기숙사 테스트
안녕하세요. 혹시 MBTI가 어떻게 되시나요?
Estp istj 왔다갔다 할 수 있음??
ISFJ여자 어디서 만나냐
야 근데 남 mbti이런거 관심있는사람이 있음?
이거 ㄹㅇ임?
엣팁 어캐 꼬심?
잉뿌삐 남자 특징!!
estp 나만 그런진 모르겠는데 공부 드럽게 안함
엣팁 얼빠인듯
타 MBTI갤보다 글이없네
엣팁인데 때로는 인팁이기도 합니다
여기에 다른 유형 어떠냐고 묻지마셈
엣팁 남자인데 너넨 연애 어케하냐
Estp여자는 어떤남자한테 매력 느낌?
여기 왜 조용함
엣팁애들아 꽃테스트 뭐나왔엉
내가 본 infp
솔직히 연락 안해서 좀 안좋은 것도 있긴함
요새 힘든일이 너무 많아서 자존감 제로다..
엣팁들아 이거 뭐 나오냐
너네 도박 존나 좋아하지? 막 미칠거같지?
정리) 각 유형별 8기능 모음
isfp 어케 생각해 엣팁들아
남친이 ESTP인데 내가 INFP 궁합 ㅈ같냐 ..
MBTI 자체보다는 8기능을 보는게 더 맞더라
estp는 머리가 좋은 거 같아
여기에서 공부 잘하는 애들이 있긴 하냐?
ESTP는 INFP의 답답한 성격을 견딜 수 없는가
카톡성향 나만 그럼??
귀여워 엣팁
씹프피가 난동피우는 INFJ 갤러리 근황 ㅋㅋㅋ
infp인데 느그들 타입이랑 연애 결혼 가능?
좆같은 게시글보면 작성자명 estp로 복붙해서 글퍼트림
인프핀데 우월한 estp한테 개무시당하고 자살충동 개밀려오네요
중딩때는 entp엿는데 고딩되고 estp로바뀜
친구가 나 같다고 보내줌
불건강 인팁은 ㅈㄴ 좆같음ㅋㅋㅋㅋㅋㅋㅋㅋ
Estp나왓어 응애 ㅋㅋ
연상? 연하? 동갑?
여기 웰케 사람없냐
Mbti 영어버전
나 엔프피 여자인데
estp인데 짝사랑 나만 이럼 ?
내기준으로 적어본 엣팁특
esfp 는 진짜 잘맞는듯
타 유형인데 ESTP는 사이다 발언을 좋아하는 것 같음
아ㅆㅂㅋㅋㅋ 분노조절장애 어케 고치냐
estp 여자는 어떻냐보통...
통속의 뇌
트롬프
난 estj인데 estp랑 더 잘통하는듯ㅋㅋㅋㅋ
⭐E⭐S⭐T⭐P⭐
Estp는 장벽이 두개 있다고 들었어
엣팁들 학교생활
방꼬라지
❤❤❤❤❤안녕?❤❤❤❤❤
ㅋ캬악 퉷
⭐E⭐S⭐T⭐P⭐
엣팁이 새벽에 말도없이 집으로 찾아오는거는 뭐냐
Mbti의 현실
니네 무슨영화 좋아하냐
Estp 원래 그렇게 사람들이 매정함...?
INTP공익인데 ESTP직원분 생각보다 좋은분인거같음
용서 잘한다 <- 이거 S임?
감정이 얼굴에 잘 드러난다 <- 이거 무슨 형임?
야 엣팁들아 니들은 손절각 선것같을때 어케 하냐
친구관계 나만 이러는지 봐줘
욱하는 성격 어케고치냐
내주변mbti몇개
남자친구가 만날때마다 하고 싶어한다...
인프피들 원래 이렇게 부정적이냐?
너네 공포영화 잘봄?
우린 온실속 화초보단 사막의 선인장 같은 부류다
나 예지력 좃망같음 
엣팁이 원래 좀 빡대가리인가
씹프피들보다는 니네가 훨씬 낫다
죽여버리고 싶은 유형 갑
공부 잘하는척 하는법 알랴줌
Estp 엣팁 중에 알콜중독자 개 많네
셤끗나서 행복한 엣팁ㅇㅕ자사람
Estp가 되기 까지의 과정
estp는 에니어그램인가 이거 국룰이냐
니네 대부분찍먹이냐
근데 이거 인싸 유형이라는데 아닌거 같아서 특징 나열해봄
estp가 왜 일진 이미지냐
여기가 그 유명한
동대문 중고차 딸배 폰팔이 다단계 롤충 사설토토 아프리카
그리고 infj 이새끼들은
이 유형이라 짜증나는건
사람만나러 나가서 노는게 좋음?
본인 엣팁쟝
이런 갤러리도 있네ㅋㅋ
⭐⭐❤❤⭐⭐엣팁꺼뎌⭐⭐❤❤⭐⭐
왜 그렇게 사냐
ESTP들아 나랑 비슷하냐?
너네
나만이런새끼들ㅈㄴ싫나
엣팁은 찍먹을하는 우월한집단이다
아까 이간질에 대해 글쓴 쓰니인데
엣팁이 좋아하는챔피언
엣팁들아 니네 이간질 당하면 어떻게 행동해?
ㄴ ㅓ 무 외롭고힘든데아무나친구하실분있나여?????????
mbti가 계속 바뀐다
TP 유형들 관계 요약 짤
개삐지는 새끼
본인도 mbti같은거 안믿음
근데 엣팁이 어캐 일찐을 하냐??? 
트럼프 미친새끼같기는 한데
estp가 상처받는 순간
남고인데 반에 infp좀잇는데 다 성격좋고 ㅈㄴ 재밋엇음
얘뜰아 나 탈갤함 
여기 글싸지르는 estp는 진짜가 아님
여기가 그
남자친구가 엣팁으로 나왔는데
개그
꺼라위키 보다가 유입됬다
끈기는 노오력 영역 같긴 함 
근데 mbti 그분이 오셨을때 하면 바뀌긴하능거같음 
MBTI 유형별 선호도 조사
나 estp됨
아 시바 여기 ensp갤이였구나
니네는 미 대선 토론 어캐 생각하냐
Enfp
내가 알바 2~3일하거 관두는이유 생각해봤는데
ㅊㄱㄱㅎㅇ♥♥♥♥♥♥♥♥♥♥♥♥♥♥
니네 mbti 숨겨진 사실아냐
이해안되는 상황..
충동성 심한데 뭔약먹어야되냐
[LIVE] 미 대선 토론 생중계
너네도 아부떠는애들 싫어해??
7w8 나오는 엣팁있냐
공부 잘하는법 알려줌 
한명만 갈구는건 내가 젤 잘함
혹시 estp중에 공부 잘하는 사람도 이씀??
끈기 ㅈ도 없음
estp갤 입갤 가능하냐
너네 장난끼 많냐?
mbti에서 entp 3번 estp 1번 나온 사람인데
엣팁들아 spti 뭐 나옴?
나 이 유형 맞음?
esfj였다가 estp로 바뀌었는데
다들 인간관계 어떰?
여기가 내 반대유형이구나
estp인거 별로 신경도 안쓰고 살다가 첨 와본다
근데 우리나라 생각보다 잘나가더라
인프피가 개 빡치는 건
entp의 과대망상증
에고그램
infj갤.. infp혐오가 된 전설의 시발점.jpg
인프피갤 남갤러들이 노는법.jpg
자 가슴에 손을 얹어보자. 
엣팁들한테 팩트로 궁금한점
나는 이런 사람이 진짜 존나 살기 올라오던데
대체로 엣팁이 개썅마이웨이지?
e i 반반이래서 엣팁갤 와봤는데
와 엣팁 갤에 글이 올라오긴 하는구나 
엣팁 여자 글 첨 써봄
너네 목숨 몇개임??
살아있는새기없냐
너네는
니네언제손절해
니네는 이상형 뭐냐?
전남친 때매 각성한 estj 꼰대임
엣팁은 일진답게 범죄율도 1위네 
엣팁들은 n식 대화법 들으면 무슨 생각들어?
Estp인데 고치고싶은거있음.
p를 뜯어고치고싶다
솔직히 머리로는 공감해야 한다는걸 아는데
애들아 어떻게 하면 estp되냐?
너넨 너네 무시하는 친구랑 잘지낼수있냐
엣팁남들아 너네 성감대 어디임?? 
ㅅㅅ할때 유형별 반응 망상
니넨 열등감 어캐 생각하냐
얼마전에 infj갤 시작했다가 여기도 함 와봤는데
씹프피 남친 어떰?
estp 특징
estp이 싫어하는 인간
Isfj 인데 estp랑 그렇게 잘맞는대자너
본인 istp지만 종종 estp마인드임
사람 상대하다보면 매번 빡치는 포인트가 
ESTP 분들 제발 설문조사 참여해주세요 ㅠ0ㅠ
친구구해요♥♥♥♥♥♥♥♥
예전에 대학교 통학할때 가끔 집가다가
자기유형 실상 ㅇㅈ?
나는 트럼프 이 마인드는 존경스러움 
기부니가 안줗다
고앵이
엣팁이 모기잘물리냐?
infp인데 나 괴롬히던 동기가 자기 estp래
날씨 존나 좋아 ㅠㅠ
너넨 좌파사상 좋아하냐?? 
애초에 estp들끼리만 모일필요가 없는데 글을 안싸지
사업 진짜 잘할 수 있을 거 같음
ㅇㅇ(175.196) 팩트 후두려 맞고 글삭ㅋㅋㅋ 애써 낚시인척 -박제-
저능아 한마리(힛땅 112.153) 낚아서 후두려 팬글
엣팁 진짜
나만 답답하고 얼타는애들 극혐을뛰어넘어 패 죽이고싶냐
글 리젠율 씹망이네 진짜 엣팁새끼들
엣팁이 본 인프제랑 엔프제는 어때? 
인붕인줄 알았는데
타유형 은근많네 
인프피사고회로
궁금
ENFJ인데
나 이거나옴 
본인 mbti 성격 이동
니네 영어공부 어캐함
estp 여자애 생일인데 어떤거해줄까
estp는 intp어떻게 생각함?
istj이 이기적이고 편만들기 좋아하는 사람있음
사람들은 자기자신을 st로놓고 싫어하는사람을 nf로놓는 경향이잇음
여기가 그 천조국 트황상께서 갤주라는 곳인가요?
여기도 중고딩새끼들이 역할놀이하는거같음
엣팁ㅈㄴ개인주의아님?
난 개랑 애앞에선 f됨 
니네 트럼프 코로나 소식듣고 뭐했냐
인프피였을때 워낙 호구등신짓을해서
밑글에 손절쉽다는 얘기 나와서 궁금한건데
엣팁끼리 정모하면
연애할때 간쓸개 다퍼주면
니들도 혼밥쉽냐??
진짜 뭐가 좀 거슬리면 바로 손절하는듯
엣팁남자들 왤케 잘생겼음?? 
안녕 나는 estp 친구를 둔 isfp야
Infp 인프피 ㅅㅂ 졸라 좆같이군다
10년된 친구무리랑 손절함
