estj
제목
씹 프피 섹스.jpg
안녕하세요. 혹시 MBTI가 어떻게 되시나요?
INTP 딸이 본 ESTJ 엄마.txt
ISFP 와이프가 본 ESTJ 남편
인프제 개따먹고싶노
INFJ 여자 존나 꼴림
ESTJ는
mbti S들 N들 특징
여자 ESTJ 어떰
의대생 ESTJ 있어?
"사람은 집단의 수준, 사회 계급이 중요한게"
엣티제도 아닌 병신들이 존나 글써대네
인프피가 실제로 쓴글 개소름
교통사고 나도 나혼자죽어야겠다고 생각한 엣티제 장동민
탈갤ㅃㅂ
행복을 무기한 연기
구르는 돌에는 이끼가 끼지 않는다
디씨가 원래 감정쓰레기통 이잖어
니네 너무 좋아
인터넷과 미디어 발달이
자존감이 높으면 흔들리지않음
entp
estp estj차이 먼지아세요?
난 남잘되는거 보면 존나흐뭇하고 좋던데
estj 랑 entj 정리 구분해줄께
신의가 없고 도덕심이 최저인 유형
INFP ESTJ 차이
estj 사귈 때 조심해야할 거 있어?
오빠가 그빚 갚아줄까? 돈쓸때가 없어서
사랑? 그것도 어차피 다~ 구라다
그림으로 보는 엣티제와 인프피의 관계
씹 프피 나가뒤졌으면
우린 성격이 좋아서 무슨유형 좋다는글밖에 없음ㅋㅋ
ESTJ 화이팅
istp 잘맞는듯
근데 너네 여친사귈때
내가 제일 좋아하는 영화 명대사
다들 이상형인 연예인 말해 봐
사나랑 결혼하구싶다
엣티제들이 가슴깊이 새겨야하는 명언.jpg
이거 정확한거 맞아?
esfp ㄹㅇ호감임
너희는 여가생활 보통 어떻게보내?
ESTJ 성격이 시원시원하고 좋던데
estj가 아닌 nf가 상사일경우 벌어지는일
"잉,,,,,,,,엥,,,,,,,,잉뿝삐❤⭐"
잉뿌삐 만화!!
30대 ESTJ가 느끼는 지극히 주관적인 유형별 관계
estj남자들은 대한민국 한녀들 조심할것
너희는 어떤 사람이랑 결혼하고 싶어?
estj인 박명수가 문빠때문에 고생했었구나
❤❤❤❤뉸사람이야❤❤❤❤
❤❗❗❗라면에 만두 넣어 먹는중 질문받는다❗❗❗❤
경상도출신에 estj 많은거같지않냐
좋아하는 사람이 엣티제야
운동선수들 전부 다들 존나 존경스럽다 크으....
우리엄마 estj인데 난 enfp야 
estj<-----이새끼들이 진짜 좆노잼 아니냐?
학교 쌤이 estj인데
estj가 좋아하는챔프
사회생활이미지랑 밤에 노는이미지랑 다른게이있냐?
estj 깨물어서 먹고 싶음
나와 함께하기엔 세상사람들 멘탈이 너무 약한거같아
ESTJ 남자 바람둥이야? 
ESTJ 엄마를 둔 ENFJ 딸의 엄마 관찰기
팩폭) MBTI 요약
페르소나
자기주장 백날 해봐야 돈 권력 빽 없으면 아무도 안들어
infp이새끼들은 
엣티제랑 친해지는 법 좀 알려 줘
엣티제갤 둘러본 후기
반갑노
원래 잘나고 높은자리일수록 욕먹는법
너네 다 이거 나오냐?
infp 왜 욕하는지 알겠네 ㄹㅇ정신병자야
쓸데없는걸로 간섭 받는거 주옥같음
estj 때문에 울고 싶어요
너네 애새끼가태 낄낄 
엔프피들 어서오고
나이먹고도 어설프게 깨어있는척 진보적인척 하면 더 추함
아이 씨발 꼰대새끼들아
난 꼰대틀딱한테 뭐가 그렇게 화나는지 모르겠음..
MBTI 유형별 선호도 조사
S나오는법
S는 N을 포용하지만 N은 S를 포용못함
INFJ 여자 복종시키고 싶다
유형 여러게 섞여서 나오는 엣티제 면접볼려고 연습한다
보통 몇시에 자고 몇시에 일어나냐?
난 남들이 estj로 안변했으면 좋겠음ㅋㅋ
엣티제 존나좋아
유형 여러게 섞여서 나옴
저는 인프피입니다
내가 개인적으로 좋아하는 유형
인팁놀러왔다
istj인데 
전부 estj피빨아먹는 기생충같은 새끼들ㅋㅋㅋ
울 엄마 엣티제 나왔는데
본인 유형에 만족함?
여기 사람들은 다 뛰어난감
estj들은 정치 주갤 부동산갤에 다있음ㅋㅋㅋㅋ
내일 승진 명함받는날이다 헤헤헷
개인적견해가많이첨가된 성격드러운 엣티제의 인프피분석
[이상형 순행열차] 엣티제들아 이상형 말해봐
맛있는 녀석들 MBTI 
INFP 씨발놈
n들은 하나만 알고 둘을 모름 이게 큰차이임
손님 왔다 인사 오지게 박아라
너네 n유형에 대해 어떻게 생각함??
Isfp에 대해서 어떻게 생각해?
ENTJ랑 ESTJ랑 조합 어떤가요?
J 갖고싶다
요즘 긍정적으로 생각하는것의 힘을느낌
엣티제는 인팁 어떻게 생각캐?
estj한테 먼저시비거는쪽은 전부 다른유형들임ㅋㅋㅋ
원래 엣티제 안 이러죠?
주변 엣티제를 보면서 드는 생각과 궁금증
Mbti갤 유형간 갈등원인중에 이게 젤 큰거같음
엣티제맞음 ;;
엣티제들 다들 긍정적임?
우리 estj 갤 메인사진 이걸로 바꾸면 안될까요?ㅋㅋㅋ
나만 그런가?
내향 감정 인식형 중 극렬진영주의자가 많다는 설에 대한 고찰
개시발 estj 입갤
Estj 부수고 다니는게 취미인 intj임
estj 본인 존경하는사람들
내향 감정 인식형은 전설이다..
estj들은 모르는거 생기면 어떡해?
Tmi
너넨 ISFP 어떰?
estj들이 복수심 가지면 장난아닌듯 
엣티제 성실하게 사는건 좋은데
Estj 인구수 2등인 이유
ESTJ들아
너무외롭고힘든데 아무나친구하실분있나요????????????????????
잇프피) 너네 엔티제랑 비슷한거같애
잔소리나 조언이 그렇게 듣기싫어?
우리나라에 estj가 두번째로 많다는데
회사에서 차라리 estj 상사유형이 제일낫다
나 estj 딱맞음
estj친구들아 istj랑 잘맞음?
근데 기업에서 estj 좋아하는거 맞아??
엣티제 갤러들아 너네도 번아웃 오냐
야 엣티제 ㄹㅇ 말 많음? 
estj 친구들아 너네도 다른 mbti 갤 가서 욕하고 그래?
estj 특유의 내로남불 너무 싫음진짜 
아빠가ESTJ
ㅎㅇ 엔팁에 관한 의견 물으러 옴
니들은 성격 정반대인 애랑 사귄다면 어떨꺼같음 ㅇㅇ
요즘 공부하다가
깔끔하게 재벌가들 처럼 정략결혼하고 싶어
T랑 F가 반응 온도차이 제일 심한듯
회사에 INTJ 신입왔는데 ㄹㅇ정신병자같아ㅋㅋㅋ
그나저나 Esfp 갤 도데체 뭔 일이 있었던 거노
여기 estj = 불건강한 찐따 병신인 이유
엣팁인데 estj되고싶다
estj가 많이 까이는 이유가 이거같음
아빠가 estj인데 뒤질거같습니다
렇9ㄹ9개개헤르더뇬ㅅㄴㅎㅈㅍ노야라우더냐툖ㄴㅎ뇮묘녀어룽8아짖0처느마느브브주
대기업 인성검사했는데 단점이 없는게 고민...
estj 연애할 때 애정표현
estj 욕하는건 별상관 없는데ㅋㅋㅋ
다들 estj가 융통성 없다고 하는데 ㅋㅋ
안녕하세요 믑티 설문조사 하러 왔습니다
ESTJ 유형이 간섭이 심한 편?
너네 웹툰 봄?
이상형테스트 estj나와서 와봤어
estj 여자임
ㅋㅋㅋㅋㅋ이거 웃기네
ESTJ행성 탐사 보고서
Estj 직장상사 너무 힘들다
estj 된 이후로 인터넷 댓글 자주까임...
ESTJ들아 나 진짜 궁금한데
이 시각 estj
엣티제들만
엣티제없는 엣티제갤
난 ESTJ 멋진거 같은데
팩트) MBTI 이딴 좆구라검사 한다는 자체가 개병신찐따
ESTJ 친형을 두고 느끼는 ISFP 동생
estj인 내가 쓰는 내 특징
estj랑 사귀고 있는 intj인데
수갤 고닉 입갤
엣티제 갤 생겼군
16 마이너 갤러리 리스트
당분간 MBTI갤에서 활동하지 마라 거기 갤매 븅신이다
ㅊㄱㄱㅎㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇ
Intp 글 11000개 estj 글 45개
ESTJ갤인데 다른 성격이 더 많네
펜팔친구하실분 계신가요..?
estj 멋있다고 생각했는데
MBTI  설문 참여해주세요 여러분
"안녕하세요, MBTI별 설문조사 하러 나왔습니다."
ESTJ 고집
estj한테 어떻게 접근해야 해?
entj인데 estj 친구랑 많이 싸워
여기가 mbti 남자 소득 1위 estj갤인가요
여기진짜 심하넼ㅋㅋ
mbti 관련 갤러리 순회 열차입니다
ESTJ에 글이 없는이유
엔팁인데 estj랑은 참오묘해
난 estj인데 아싸고 모쏠임
안녕 인싸들아
ESTJ 약속 특
estj 랑 연애하면 발생하는 문제점
INFP 입니다
estj에게 사랑이란 뭐야?
MBTI 갤러리에서 떡 돌리러 왔습니다.
estj는 인싸들이어서 글쓸시간도없음
여긴 왜 사람이 없냐
아따잉 첫빠여라~~ ㅋㅋ
ESTJ갤러리
여기진짜 심하넼ㅋㅋ
mbti 관련 갤러리 순회 열차입니다
ESTJ에 글이 없는이유
엔팁인데 estj랑은 참오묘해
난 estj인데 아싸고 모쏠임
안녕 인싸들아
ESTJ 약속 특
estj 랑 연애하면 발생하는 문제점
INFP 입니다
estj에게 사랑이란 뭐야?
MBTI 갤러리에서 떡 돌리러 왔습니다.
estj는 인싸들이어서 글쓸시간도없음
여긴 왜 사람이 없냐
아따잉 첫빠여라~~ ㅋㅋ
ESTJ갤러리
여기진짜 심하넼ㅋㅋ
mbti 관련 갤러리 순회 열차입니다
ESTJ에 글이 없는이유
엔팁인데 estj랑은 참오묘해
난 estj인데 아싸고 모쏠임
안녕 인싸들아
ESTJ 약속 특
estj 랑 연애하면 발생하는 문제점
INFP 입니다
estj에게 사랑이란 뭐야?
MBTI 갤러리에서 떡 돌리러 왔습니다.
estj는 인싸들이어서 글쓸시간도없음
여긴 왜 사람이 없냐
아따잉 첫빠여라~~ ㅋㅋ
ESTJ갤러리
여기진짜 심하넼ㅋㅋ
mbti 관련 갤러리 순회 열차입니다
ESTJ에 글이 없는이유
엔팁인데 estj랑은 참오묘해
난 estj인데 아싸고 모쏠임
안녕 인싸들아
ESTJ 약속 특
estj 랑 연애하면 발생하는 문제점
INFP 입니다
estj에게 사랑이란 뭐야?
MBTI 갤러리에서 떡 돌리러 왔습니다.
estj는 인싸들이어서 글쓸시간도없음
여긴 왜 사람이 없냐
아따잉 첫빠여라~~ ㅋㅋ
ESTJ갤러리
여기진짜 심하넼ㅋㅋ
mbti 관련 갤러리 순회 열차입니다
ESTJ에 글이 없는이유
엔팁인데 estj랑은 참오묘해
난 estj인데 아싸고 모쏠임
안녕 인싸들아
ESTJ 약속 특
estj 랑 연애하면 발생하는 문제점
INFP 입니다
estj에게 사랑이란 뭐야?
MBTI 갤러리에서 떡 돌리러 왔습니다.
estj는 인싸들이어서 글쓸시간도없음
여긴 왜 사람이 없냐
아따잉 첫빠여라~~ ㅋㅋ
ESTJ갤러리
여기진짜 심하넼ㅋㅋ
mbti 관련 갤러리 순회 열차입니다
ESTJ에 글이 없는이유
엔팁인데 estj랑은 참오묘해
난 estj인데 아싸고 모쏠임
안녕 인싸들아
ESTJ 약속 특
estj 랑 연애하면 발생하는 문제점
INFP 입니다
estj에게 사랑이란 뭐야?
MBTI 갤러리에서 떡 돌리러 왔습니다.
estj는 인싸들이어서 글쓸시간도없음
여긴 왜 사람이 없냐
아따잉 첫빠여라~~ ㅋㅋ
ESTJ갤러리
여기진짜 심하넼ㅋㅋ
mbti 관련 갤러리 순회 열차입니다
ESTJ에 글이 없는이유
엔팁인데 estj랑은 참오묘해
난 estj인데 아싸고 모쏠임
안녕 인싸들아
ESTJ 약속 특
estj 랑 연애하면 발생하는 문제점
INFP 입니다
estj에게 사랑이란 뭐야?
MBTI 갤러리에서 떡 돌리러 왔습니다.
estj는 인싸들이어서 글쓸시간도없음
여긴 왜 사람이 없냐
아따잉 첫빠여라~~ ㅋㅋ
ESTJ갤러리
여기진짜 심하넼ㅋㅋ
mbti 관련 갤러리 순회 열차입니다
ESTJ에 글이 없는이유
엔팁인데 estj랑은 참오묘해
난 estj인데 아싸고 모쏠임
안녕 인싸들아
ESTJ 약속 특
estj 랑 연애하면 발생하는 문제점
INFP 입니다
estj에게 사랑이란 뭐야?
MBTI 갤러리에서 떡 돌리러 왔습니다.
estj는 인싸들이어서 글쓸시간도없음
여긴 왜 사람이 없냐
아따잉 첫빠여라~~ ㅋㅋ
ESTJ갤러리
여기진짜 심하넼ㅋㅋ
mbti 관련 갤러리 순회 열차입니다
ESTJ에 글이 없는이유
엔팁인데 estj랑은 참오묘해
난 estj인데 아싸고 모쏠임
안녕 인싸들아
ESTJ 약속 특
estj 랑 연애하면 발생하는 문제점
INFP 입니다
estj에게 사랑이란 뭐야?
MBTI 갤러리에서 떡 돌리러 왔습니다.
estj는 인싸들이어서 글쓸시간도없음
여긴 왜 사람이 없냐
아따잉 첫빠여라~~ ㅋㅋ
ESTJ갤러리
여기진짜 심하넼ㅋㅋ
mbti 관련 갤러리 순회 열차입니다
ESTJ에 글이 없는이유
엔팁인데 estj랑은 참오묘해
난 estj인데 아싸고 모쏠임
안녕 인싸들아
ESTJ 약속 특
estj 랑 연애하면 발생하는 문제점
INFP 입니다
estj에게 사랑이란 뭐야?
MBTI 갤러리에서 떡 돌리러 왔습니다.
estj는 인싸들이어서 글쓸시간도없음
여긴 왜 사람이 없냐
아따잉 첫빠여라~~ ㅋㅋ
ESTJ갤러리
여기진짜 심하넼ㅋㅋ
mbti 관련 갤러리 순회 열차입니다
ESTJ에 글이 없는이유
엔팁인데 estj랑은 참오묘해
난 estj인데 아싸고 모쏠임
안녕 인싸들아
ESTJ 약속 특
estj 랑 연애하면 발생하는 문제점
INFP 입니다
estj에게 사랑이란 뭐야?
