istp
제목
신고게시판 파딱버전
신고게시판
to.타유형 공지
진정한 효율
민트초코
나무위키에 있는 ISTP 특징 너무 똑같은데
잇팁 중고등학교 어케 다님
여자들에게 질문
남이 셀카찍어서 보내주면 어떻게 반응해야될지 모르겠다
나 좀 도와주면 안되냐
남들이 보기에 한심해보이나봐
읽씹 vs 안읽씹
내년에 대학가는데 여초과갈듯
내가 싫어하는 사람
애미
f랑t
급식 먹을때가 좋았는데..
성격유형검사 돈주는거하고 인터넷 검사하고 차이큼?
여친 몸매 어느게 더 좋냐 진지하게
인터넷 mbti검사 믿을만함?
너넨 이거 어떻게 생각해?
원래 스케일링하면 피가 많이 나냐?
너네 여친생기면 결혼하고싶다는 생각드냐 
enfj infj isfp 다 무슨 생각하고 있는지 모르겠음
씹프피 경험담
귀찮음 너무 심해서 밥도 안먹는다
잇팁 너무 귀여웡ㅎㅎ
본인 특
Istp 특징
거짓말같은거
오늘도 잇팁갤은 활기차네 
유형으로 사람을 판단할 순 없지만
시발 진심 너무 춥다 
잇팁이 estj랑 최고의 궁합이라는데
enfj 왔다감
이딴게 다있네
자퇴하고싶다
istp 직업 뭐 가져야됨? 한국사회에서 살기 너무힘들다..
윗집여자 계속 소리지르고 운다 
istp나와서 놀러 왔어요
여자 163에 71이면 일반인ㅌㅊ아닌가
이제 보니 나 좋아하는 오빠한테 맨날 보고싶다고 하고 있었네 
출근하기 실러
눈뜨니 12시네
이과 혀녁 올해 수능봤어
씨발 살빼는거 뒤지게 힘드네
박명수 진짜 잇팁중의 잇팁같음
전에 애들이 사랑이 뭔지에 대해 말한거 떠오른다 
지금 스브스에서 엠비티아이 관련 나오네
완결난 장편 잘 안 보는 이유
청소존나 좋아하는 사람 있으면 우리집 대려오고 싶다
잇팁갤도 있네
잇팁이 오지랖이 넓어?
쇼미 안보는데 원슈타인 이번노래 진짜좋네
씹프피가 고양이 유독좋아하지?
여론을 좀 읽어보니 ISTP가 아닌 것 같음
극혐주의) 잉 뿌삐남의 고백.jpg
이거 어떻게 해야함? 
나만 이러는거 비효율적이라생각하냐
너네 단톡할때 글많이 쓰냐? 
안녕 나  estp인데 놀러옴
카톡 때문에 삶이 피곤해
물건 버리기가 참 쉽지 않다 
공부하다가 정신 나갈 것 같다
잇팁 연애하다 편해지면
한참 mbti 유행할 때 친구들한테 잇팁이라고 하니까
이거 내 눈이 이상한거지?
나주변에잇팁아무도없는데
Istp는 외강내유냐?
해결안될거 같던일 잘풀렸다 
나 오늘 소개팅 하러 간당
일기 밀리니까 손 놓게되네
방금 듣도 보도 못한 음식 먹음
혹시 istp들 게임할때 진지빨고 하는거 잘 안함?
어차피 해봤자 작심삼일이라 안하게됨
근데 갤만 보면
형냐들 ㅎㅇㅋㅋ
나 내일 정신병원 갈생각에 설레
아니사람이대화를할때
선생한테 인상 쓰지 말라고 자주 혼남
이거 초딩때 삼각관계였던듯
눈물난다
마스크에향수뿌리고다니는사람있지않을까
또 잇팁나옴
거리두기삼단게중인내마음
내년목표
세벽 두시쯤에 잔 것 같은데 지금 일어남
너네 친구들이랑 연락할 때
경찰대나 국정원 목표했던 애는 없냐 
요즘 미국 살인 범죄 수사 영상같은 거 봄
카톡 나만 귀찮아해?
나도 내년 목표 있어
나 내년 목표 있음 
나만 그런가는 모르겠는데
뭐지 원래 이렇게 글이 많이 올라왔나? 
친한애들 손절때리니깐 넘 힘들다ㅜ
나도 말수 존나없는데
내 어렸을 때 같네 
나는 생각을 하면 할수록 부정적인 결론에 도달하게 됨 
유교걸 유교보이 하면 떠오르는 mbti는?
하 ㄹㅇ...징징대기전에 생각좀했으면
가족 mbti
이거 너무 극단적이지 않냐
뭘 씨발 MBTI로 우월성을 가리고 있어
언니네 이발관 노래 지리네
난 게임 별거 다하는듯
난 사람 절대안믿음
겜추천좀
니네 에니어그램 뭐냐
띵곡 추천
가족mbti
아니 맘에 있는데 왜 티를 안냄
나도 영화
소신발언) 본인은 화려한 휴가랑 변호인 재미있게봄
mbti뭐같음??
