isfj
제목
파딱호출기
어그로오면 다 삭제하고 차단할게요
나 머리 펌 할까?
잇뿌제들아 주변인들이랑 mbti 궁합 어때?? 나는
잇프제 여성분들 썸 질질끌리면 질리고 그러시나여
intj 어떻게 생각해
너네들 의문 같은거 많이 가짐?
내 특징
잇프제녀와 친해지기 성공했습니다
ㅎㅇ~  ESTP에게 궁금한거 물어보세요
엣프피 놀러왔는데 엣프피한테 궁금한 게 있으신가요??
잇프제 오늘 처음 들어와봤는데
가끔씩 entp나 entj들이 부럽더라..
뼛속까지 잇프제
잇프제녀를 좋아해서 천천히 스며들고 있어요 그런데 질문..
다들 애인은 mbti가 뭐야?
미안한데 조언 좀!! 잇프제에게 사과할 때
안녕 친구들
못생긴 잇프제 남자의 현실
연락할때 잇프제는 불편한데 불편하냐고 물어보면
수능 조졌다
시험기간 때 연락 빈도
esfp가 들이대면 어떰 
다른 mbti 갤 갔다왔는데 
짝녀랑 술한잔하러옴
유형별 말 안하는 이유(내향)
잇프제가 기억력 좋다는 거 타고난 기억력이 좋은 건가요
옛날에 검사했을 때 9w1이었던거같아
근데 이성은 외향형이랑 만나는게제일나은듯
생각없는친구...
이상형 나랑 똑같은vs정반대인
수능칠 03잇붕이임
수능보는 잇붕이들 화이팅!!
예전앤 isfj 나왔는데 지금은 ISFP나오네
고2남자 고민 (글 잘 못씀)
페북은 현활인데 카톡은 안읽씹
잇프제가 말 직설적으로 하면 친한 건지...
Isfj한테 롤링페이퍼
너네 사람들 앞에서 말 잘해?
"남사친,여사친=예비 남친,여친"
남사친 여사친이라는거 절대 이해 못하겠음..
여야 얘들아 한 번만 더 나 좀 도와줘라..
잇프제랑 대화하는데 ㅋㅋㅋㅋ 많이 쓰면 어떤 건가요..
나는 이상형이
(롤주의) 어제왔던 estp인데 또 친구 구한다
계획만 세우고 안지키는건 그냥 개인 특성인가?
잇프제들은 대부분 아이폰쓰는듯
이런 기분 처음이야
읽씹 기분 너무 나쁘다도르
너네들도 똘끼 많니
다들 어떤 취미 가지고 있나요?
잇프피와 잇프제의 차이점이 뭐라고 생각함?
너네도 친구들 관계에서 이런 느낌 자주 받아?
안뇨요용
ISFJ녀가 카톡 안읽씹인데 더 보내면 부담이야?
수험생인데 너무 힘들어
자기 장점 잘 알아주는 사람 어떰?
esfp인데 isfj 너무부럽다 
잇프제 썸녀 생일때 만나기로했는데
ISFJ는 롤할때 어떰?
잇프제녀가 저를 친구로 보는 거 같은데
갤럭시쓰는 잇프제들아
잇프제에게
잇프제들 연애할때 티 엄청안냄?
아무도 모르는 잇프제 특징 ㄹㅇ
잇프제 여사친이 있는데
isfj한테는 무슨직업이 어울릴까?
오늘 여자친구에게 선물받아서 너무 행복해
자존감이 낮은 isfj친구
오늘 나 너무 기분좋아 ~_~
잇프제들 고민상담 진짜 정성스레 잘해줘
나 estp인데 친구 구한다
"isfj 여성한테 개인적인, 시시콜콜한 질문 같은 거 해도 되나요.."
친구는 사귀고 싶은데
Isfj들... 친구 문제 어떻게 해결해...?
내향인들이 친구 사귀는 방법
ISFJ는 피곤하면 카톡도 안봐?
왜 놀리는 맛이 있는 거야
너네 카톡디엠 잘 씹냐??
전여친 못잊는 ISFJ 어케 꼬시냐??
남자 잇프제들아 질문있다
난 엔팁인데 친구가 눈치 안 봤음 좋겠다
잇프제면 다 건강해야함? 그건 누가 정한거임?
건강하지 못한 잇프제
같은 잇프제랑 갠톡하고싶어
건강하지 못한 잇프제 보면 무섭다
약속에 나갈때 혹시 나같은 사람 있을까
가슴이 너무아파
ISFJ가 융통성이 없나?!
확실히 내가 고마워한거에대해서 감동하면 없던호감도 생기는듯
고마워 친구들!! ISFJ녀랑 썸 단계 주의사항 알려줘!
호기심 여부에 따라 N/S 갈리는 건 아니지?
나무위키 보다가 감동받았어...
잇프제한테 선물주는 법
내면의 두려움을 어떻게 고칠까
보답
1년 사겼었던 isfj(전)남친 특징
공부 잘하는 잇프제있음?
ISFJ 남자 여자 만나기 너무 힘들다
Isfj 누나한테 고백하고 차였는데
눈치본다는 소리 듣고 멘탈 바사슥
알바 하는ㄴ데 일머리 없는 내가 슬프다
애드캠퍼스 코로나 블루 테스트
애드캠퍼스 마음의 꽃 테스트
