istj
제목
intj 에서 istj로 바뀜 ㅇㅇ
관심있는 여자가 ISTJ라는데 어떻게 다가가나요
너네 진짜 나구나?
sns 안 하는 이유
아는 동창 씹프피
니네 제일 안맞는 유형 뭐임?
난 진짜 갖고싶은거 못가지면 정병옴
학생때 친구들한테 노잼이란 말 많이 들었는데
intp
목적없는 행동 싫어하는 거 너네도 그래?
잇붕이 수능치고 왔다...
수능 지각
잇티제도 연락 잘하는사람 있어?
ISTJ랑 연애할때 뭘 조심해야됌?
죽음에 대한 두려움
Istj 백수인데 
안녕 잇프피야 놀러왔어!!
이렇게 살다가 고독사할까 무섭다
안녕 인팁인데
넷플릭스같은거 봐??
8기능에서 잇티제 나왔는데
분위기에 휩쓸리는편??
eq 테스트 함 해보자
성격바꾸다가 우울해진적 있어?
이런 경험 있음?
나 isfp 남친 istj임 연애해보니까
아 진짜 내로남불 너무 꼴보기 싫은데 어떡하지
안녕 엔프피인데
맨날 isfp나오다가 istj나옴
istj는 사주믿음?
니넨 폰케이스 뭐냐
중학교 반장선거
이 말투 어땡?
잇티제한테 질문!!
난 인생의 목표가 집임
꽃 테스트
너네 물건 살 때 뭘 중요하게 생각?
꽃 mbti다시 했는데
어제 썸녀가 카톡 하는거 안좋아하냐고 묻던데
내가 나를 봐도 참 신기함
ISTJ가 정치인에 잘 맞는다고 생각함?
연락하는거에 의미두는 이유를 모르겠어..
목표를 잃어서
유입이 심심해서 개념글 정주행해봤다
너흰 집중 안될 때 어떻게함?
님들은 친구가 필요하다 생각함?
istj중에 직업군인있음?
한국에서 제일 많은거 맞냐
동물테스트
istj 친구중에 라디오 pd? 작가?가 꿈인애 있는데
좀 세월 지나서 성향 어느정도 바뀌었을 거라고 생각했었어
하나 궁금한게 있는데
후회한적이 없는데
istj이지만 안맞는거 몇개
난얕은관계가더편함
친구
나만 그런지는 모르겠는데 istj중에 자기가 할수있다고 생각하는거중에
안녕
나 이거나옴
여행성향
도라에몽 보는데
꽃비티아이 이거 나오는데
난 내가 좋아하는 물건들 사이에 있을 때 행복함
나 istp 였는데 istj로 바뀜
주딱이나 파딱잇으면 좋겟다
istj지만 한때는 행복하게 살았음
공공기관 다니는데 워크샵에서 엠티아이 전문진단했는데
Estp랑 어때
MBTI 각 갤마다 글리젠 차이나는거 개웃김
istj 나쁜해설이래
나도
에리카 하이
어 너두?
님들 혹시 꽃 에리카 나옴??
INTP입니다
시험 하루전
여긴 나같은 사람들이 많단거잖아
난 꽃비티아이 이거 나옴
꽃 mbti 
꽃비티아이
난 꽃 이거 나옴
이게istj임?
기숙사 살아본사람 있어??
불쌍한 istj
ISTJ 가장 어울리는 직업
너네 카톡프사 뭘로해놓음?
다들 직업이 어떻게 됨
여기오니 맘의 안정이되네
istj는 프로그래머를 하기에 적합한 성격일까요?
명박티아이11번했는데 전부다istj a%나옴
사실 맞음
항상 과거에 빠져사는 거 같다..
"istj, isfj 는 크게 웃을때 있어?ㅋㅋㅋ"
너네는 섹파만듬
잇티제랑 사귀는 인프젠데
예의
estj다들 어떻게생각하는감
나 원래 고등학교때부터 20대초반까지 isfj 나왔었는데
ISTJ 서식지 어디야?
좌파들이 너무 싫다
연애상담 못해주겠다
내가 실제로 알고 겪고 친해진 사람 mbti는 인팁밖에 없어
역시 공무원
무슨 일 생긴 거 아니면 갠톡 거의 안함
다들 뭔일 하고 살아?
대학가서 아싸될까봐 걱정임
나 왜 자꾸 istp-t 랑 istj-t 가 번갈아 나오는거임?
esfp랑 어떠냐
난 친구가 없어
잇티제떠서 입갤한다
난 예외가 너무 싫음 
믿을건 과학밖에없다
ISTJ-A와 ISTJ-T의 차이
융통성있냐
우와 istj 갤러리라니!!!
나 잇티제인데 주변에서 맨날 듣는 말이
난 꼰대가 아닌데 왜 istj가 나오지
나...ISFP ... 남편 ISTJ...헿...ㅋ
남들은 나 인생 알아서 열심히 잘 사는 줄 안다
너희들도 막 남들한테 애정표현 잘 못하고 그래??
j p 왔다갔다한다
엔팁 어떻게 생각함?
예의
정리에 미친놈이다
Istj의 타인에 대한 태도는 딱 이거임
f갤러리 좆같은데 t냐?
관심있는 사람 있을때 보통 어때??
아 너네 재밌다 동질감느껴
니넨 뭐냐?
나만 전화가 편해?
Xnfp들 약속 존나 안지키더라
직업이 뭐야
어린나이에 철밥통 공무원되서 일하는중인데 힘들다
ISTJ가 싫어하는 사람
istj인데 수학 못하면 어카냐?
장난기 많음
이잉....잉뿌삐...♡
계획을 잘 안세우려고 함
롤 원챔충 있냐?
너넨 계획 실행력 좋냐
너네도 스토킹 함?
님덜 6w1나옴?
전화가 싫어졌어
istj였는데 istp되가는중
생일이다
내 카톡 자기카톡
계획없는 날을 계획하는 본인 ㅁㅌㅊ?
나 혼자면 오류없이 계획대로 진행되서
인프피다
짝남이 istj 같은데
너네들은 학생때 공부 열심하고 또 성적도 잘 나왔었음?
istj 빙고
오늘 학교에서
꼰대 테스트
자주 듣는 소리
1달 넘겨서 재검해봤는데
너넨 무슨 일 함??
핵심능력 한우물파기 나왔음
차라리 아예 태어나지 않았다면
istj=찐따
친구랑 얘기할 때
intj들은 왜 자꾸 지들 수능 관련 통계로 나무위키 주작하냐
내 친구가 istj 인데
입시떡밥은 꾸준하네
다시 검사해볼까 ㅋㅋ
istj가 귀여워하고 관심가지는 사람이면 좋아하는거야?
입시에서 현실을 바라보는 istj와 intj의 차이점
너네들은 금전욕 어느정도 있어?
뭐가 이렇게 반반임?
유유상종이라는게
근데 극단적으로 말해서 친구가 필요한 순간은
entj istj 됨
너희들은 썸타기 전에
내성격
이거 나 같음 
잇티제 내신최적화라길래 적는 글
'인간관계는 점점 더 좁아지는데 일은 점점 늘어난다'
소프트한 잇티제인 내 성격 특징
istj중에 의외로 오타쿠가 많다고하던데
본인 씹선비임
난 진짜 개꼰대가 맞는것 같애
친구랑 재회 했는데
우리 유형 꼰대라고들 하던데
일 미루고 악기좋아하는 istj 글쓴사람인데
나는 내가 계획없이 산다고 생각했는데
istj칭구들아 주변친구들 mbti 뭐야?
정의와 개인적 행복이 충돌하면 어떤 선택을 해야할까?
기말고사
istj들아 니들은 음악이나 악기다루는거 좋아함?
생각해보니 본인 mbti 말고는 아무도 모름
istj 남자 나한테 관심있는골까..?
이성에 관심이 없음
다른 ISTJ는 대면이 좋아 비대면이 좋아?
야근잘함
핵심능력테스트
핵심 능력 테스트
안녕친구들
반갑고
니들은
난 너무 나쁜사람같아
estj인데 
❤☣⭐✅♿♋사랑해❤☣⭐✅♿♋❤☣⭐✅♿♋사랑해❤☣⭐✅♿♋❤☣⭐✅♿♋사랑해❤
ISTJ 계획 잘지키는 법 좀 물어보고 싶음
잇티제에게 복수란 뭐냐
가난하면 아기를 낳으면 안되는걸까?
MBTI 유형별 선호도 조사
안녕하세요 32세 인프피 아재입니다!
최근에 한명 손절함
여러유형갤 느끼는점
istj남자한텐 어떻게 다가가야돼?
이거 나같다 ㄹㅇ
듣고 싶은 것만 들음 
대화하는거 좋아함?
그냥 멍청한 거 아닐까 ㅇㅇ
istj 정반대 enfp랑 궁합 맞음?
규칙이나 법에 위배되는(?) 일을 해본적 있어??
사이트마다 결과 다르게 나오는 사람 있나
아는게 없음
술 한잔하고싶은데 힘드네..
옛날부터 사랑타령하는거 별로 안좋아했어
난 isfp인데 istj식 위로가 도움이 많이됐음
옹 여기 확실히
의견에 반대할때
istj 여자에게 남사친은 뭔가요?
손절 팁
상대의 반응에 짜증이 조금 올라올때
이거 심각한건가요?
우연히 보게된 이 갤 옛날 글인데
내 에고그램 공개함
istp에서 istj로 바뀌어서 옴
종교믿음?
너네 이성한테 연락쉽게하는편이야?
너네 학교 생활 어땠음?
istj 콘 발견ㅋㅋ
빵또아 입갤ㅋㅋ
빵또아추 에이스비추
istj는 에이스랑 빵또아로 갈라지는 듯
잇티제들에게 추천하는 pc겜
롤 챔피언 뭐해?
spti검사
너낸 향수 뭐씀?
심심해서 해본 에고그램
나 INTJ일까 ISTJ일까?
에고그램 ㅋㅋ
ISTJ였는데 ESFP됨 질문받음
니네 은근 친절하더라
사랑이란게 가식적인거 같아.
에고그램 테스트
SNS 많이 안하는건 진짜 istj 특징인강
아는 Istj 남자애 특징 적어봄
유튜브나 인스타 보면
솔직히 계획성은 모르겠고 준비성
공감되어서 가져옴ㅋ
블렉헤드
istj 여자랑 썸 타는 것 같은데 질문좀요ㅠㅠ
혼밥잘해?
나는 주위에서 항상 공부 잘하는 이미지였음
스터디 플래너
다른 유형 갤러리 가보면
가짜사나이
카디비 어떻게 생각해
책 추천 좀
T들은 이해못하는 F들의 기준
ㅋㅋestj갤도 가봤는데 졸라 불쌍하네
나는 istj랑 estj랑 번갈아 나오는데
본인 유형에 만족하나
ISTJ 만나는 ISTJ있어?
내가 쉽게 손절할 수 없는 사람과 싸운다면
너네 엣팁이랑 어때?
t가 되고싶은 f
두루두루 친한 친구는 좀있는데
난 금사빠임
자기주장 강함
말 거는거 대부분 씹고 무반응 했음
신중함과 우유부단
내 특징
진짜 싫어하는 인간이 하나 있는데
ISTJ는 이별후 미련이없어?
갤 헷갈렸는데
자기검열 
Istj는 이 세상의 진정한 영웅이라 생각해
상상속의 이상형의 성향을 때려맞춰보는데
여긴 진짜 정상인들만 모였네
istj끼리 만나면 무슨 얘기함??
전여친과 현여친
애교있음?
극혐하는 거
너네 인티제에 대해 어떻게 생각함?? 
생각해보니까 전에 만나던 여자 ISTJ인거 같다
영화보면서 질질짜면 istj아니냐?
미니멀리스트
한국인 중 비율 젤 높다는데
연애하고싶은 사람의 성격이 뭐얏
istj들도 성욕 있냐?
istj들도 스킨십 하냐?
이런갤도있네
조용하네
침대 위....선을 넘어버린 ISTJ의 썸남.....gif
너희들은 연애 자주 하는 편임?
ISTJ애들은 왜 갤도안하는거야ㅠ
핸드폰 중독
infp 친구랑 어떻게 지냄?
자기유형 실상 ㅇㅈ?
휴일에 뭐해
나같은 이유로 애 안낳을 사람있음?
f와 t 카톡...
너네는 편지 쓰는거 좋아해?
연락 좀 하지망
회식 같은 자리 진짜 싫어해 나는
시 발 애들이 내일 놀자고함
아빠한테 성격 그대로 물려받은거같음
나 ISTJ인거 어제알았는데 인생살기 너무힘들다
이성 만날 때 뭐 보고 만남?
시간 안에 일을 못 끝낼 갓 같을 때
또 다른 특징...
여자친구랑 맨날 이 문제로 싸운다...
너네 분리수거 잘하냐???
여기가 그 교양있으신
교양 있는 사람
회사 대리가 istj인데 고백했어
너희들 밖보다 집에 있는 거 좋아해?
여기 공시생이나 공무원들 있냐
공중화장실 이용
의외로 괜찮은 엔프피
가끔 내가 외향적이였으면 크게 성공했을거란
잇티제 흡연충 있음?
이거 딱 나 ㅎㅎ
단톡만 나만 피곤한가
istj면 한국에서 강제인싸냐?
남녀성비 궁금행
한국에서 살기엔 istj가 젤 힘들다는생각 안하냐
나만 한번씩
남의 일에 관심 없음
니들도 누군가한테 혼날때 그러려니 하냐
집에 아무도 없당
이거 잇티제 절대 아니지?
돈받는거 너모 힘들어
엔프피에게 이런 면이
생일선물 취향
니네 돈 빌리거나 빌려주거나 하냐?
친구 많으면 피곤함
잇프젠지 잇티젠지 판단좀
잇티제들 책벌래 조사
나랑 안 맞는 친구특
잇붕이들 잇-하
노래 추천 해도될까...?
이과vs.문과
내가 손절하는건지
istj님들
잇티제들아
나는 istj인데 주저리..
애정표현은 못하지만
님들아
무당집가서도 나보고 군인이나 경찰쪽이 좋다고 하는데
님들 뭐 하나에 꽂히는 경향 있음?
애인있는사람 
너희랑 친해지고 싶어
ISTJ들아
ISTJ들아 너네 어두운면 테스트좀 해올려주라
님들 손절 있잖아요
남는 친구가 없음
니네라면 어쩔꺼야
(2016 야갤) 외향충이 헬조선에 기여한 꼰대 문화
주식 어떻게 생각해?
논리없고 내로남불인 mbti 뭘까
mbti 알고나서 인생의 의문이 풀렸다
근데 잘 맞는 친구사귀기 개어려운듯
근데 istj 면 원칙주의자 아니냐
니넨 제사 어떻게 생각하냐?
tmi들었을 때 대처법좀
좋아하는 색 뭐임
수험생활 원래 이렇게 힘든거냐
내가 ISTJ가 맞나
너희들 혈액형 뭐야
우울해하는 잇티제는 어떻게 도와주면 좋지
누군가가 그립고 보고싶은 마음이 좀 연한듯
근데 공부를 계획안 세우고 하는 사람들이 있나?
횡단보도 건널 때
"[스압,대용량] 악의꽃 문학.jpg"
내 mbti ㅈㄴ 막무가내로 나옴
본인 잇티제인데
나 실수하는 디 잇티제 아닌감
나 잇티제인지 평가좀
손절치고 싶은 친구 있는데 고민 도와주세요
잇티제는 딱 고딩3년만 가지고 버리는게 나음ㅇㅇ
꽉 막힌 새끼들
F 친구들...
[타유형 질문] 잇티제는 허세를 잘 부립니까?
T랑 F가 반응 온도차이 제일 심한듯
같은 st가 편해
타유형고민상담글
istj는 논문이나 논술 같은거 어떻게 생각해?
소시오패스 특징
단계밟아서 말하는거 극혐
엔프핀데 질문 하나만 더 해도될까?
ISTJ 여자는 어떻게 대해줘야 하냐?
우리엄마 I(E)STJ아닌거같음
좋아하는 애 생겨서 ISTJ로 바뀐건가..
Istj intj infp intp면 뭐일거 같음??
Istj가 생각하는 enfp는 어때?
