infj
제목
INFJ 갤러리 통합공지
주딱이 바꼈습니다~
INFJ가 고통받는 이유.
신고 게시물 불판
신고 게시판
오우 기숙사테스트했더니
내가 도어슬램 하는 과정과 이유
나 크리스마스때 할거정했음!!!!
인프제들 밖에서 이미지가 어때?
인프제갤만의 웃긴점.txt
엔팁갤 현황
짭프제들 검거
무장해제 당함
내가 도어슬램 하는 이유
정말 미칠듯이 세상이 좆같고 미워서 누구 욕이라도 하고 싶은데
근데 이런것도 피해망상이야?
원슈타인은 목소리가 좋은데 랩 뿐만 아니라
스트레스 받아서 담배 좀 피웠더니
나는 피해의식이 엄청난듯
마음이 공허해서 미치겠어
도어슬램의 원인이 뭘까? 
간단히 만드는 저녁요리(5) - 스팸 오믈렛
병먹금해라 좀
강박증 심한 사람 있어?
기쁘다
요즘 원슈타인이 너무 좋다
infj는 연상 좋아해?
진로에 대한 생각
요새 고민중인 인간관계
디시 바이크 갤러리 눈나.jpg
정말 쓸 데 없는 걸로 싸우는구나 얘들아
난 내가 후플푸프인줄 알았어
근데 저런 행동도 이해는 하긴하는데
찍어누르는게 재밌다더니 재밌긴하네
인프제 여자친구랑 속궁합 ㅆㅅㅌㅊ인 것 같음
꺅 나는 인티제가 너무 부러워
찍어 누르고 우월감을 느낀다라?
오랜만에 에니어그램 해봤는데
요즘들어 화난친구들이 많네 ㅋㅋㅋㅋ
말로는 나는 HYPMSC ㅎㅎ
살면서 알겠지 머
인프제는 f치고는 경쟁심이 강한편이네
112 170 찍어누르는거 좋아하면 직업 인증 좀
Infj들은 누구 찍어누르는거 재미 없냐?
책 잘 아시는 분 선물 상담 좀...
mmpi 검사해본사람있어?
인프제 보닌 삶의 모토
지금까지 대하는 사람에 따라 성격이 달라지는거에 의문을 품었는데
인티제가 인프제 쳐바르면
눈치 적당히 봐라
데스노트 본 사람 투표점
남녀 떠나서 내가 서로에게 첫 대상이길 바라는 마음은 다들 있지 않아?
30대 남자랑 20대 여자가
너넨 직업이 뭐냐 장래희망이라던가
공산주의 품성을 고상하게 하리
수능끝나고 질문
"억울함, 손해본 느낌이 만연할 때 어떻게 지내니"
담임 엔프피고
첫사랑 떡밥인가.
나는 첫사랑이 없어
오늘 첫사랑 결혼한다
불규칙에 대한 강박증이 있어
지금 남자친구랑 170일짼데 너무 좋아
남들이 내가 우울해보인대
인프제 성격에 대한 망상글로 념글 갔던 사람이야
T 방향이 사회나 사람이라면
어떤 주식 사둬야 10배씩 뛸까?
책좀 추천해줄래
후회될 땐 어떻게 해야해...
이것만 하고 자야지
infj 에게 미움받는 방법은 뭐가 있을까 
지금 기분
21일 챌린지 할랬는데 막상 하려니 떨린당
원래 t인데 우울하면 f로 변하기도 할수있어?
성격장애 마이너 갤러리 놀러 오세요
인프제는 원래 우울한거야?
성수기 비수기 나눠져있는 일이 좋아? 꾸준히 한결같은 일이 좋아?
목련꽃
INFJ인데 글 하나 쓰는 것도 되게 힘들다...
인프제 인사드립니다
인프제들아 너네 취미 뭐야~?
mbti가 얼마나 근거없는지 깨달아버렸다
이놈의 외로움...
나 친구들한테 서운할때 mbti하면 INTJ 나옴ㅋㅋㅋㅋ
그럼 하나만 더
나 인프제아닌데 여기 잠깐 있어도 돼?
야식먹어야징
인프제들아ㅠㅠ 성적판타지는 판타지일 뿐이야???
8기능 테스트 해봤는데
infj와 infp의 가장 확실한 차이점 생각해봤음
할일이 남았지만
너는 이래서별로 쟤는 저래서별로
방청소 기념 인증이야
프제녀들에게 성 질문 있음
근데 종국엔 어째 인터넷 실명제 할 수도 있을 것 같긴해
정전갤이므로 내가 들은 노래 붙히고 갑니다
익명이 답은 아니지
정전갤 심하네
짭프제
수치스러움
애초에 한국에 정상적인 커뮤니티가 존재해?
내일 대학원 입학 필기랑 면접보러가야되는데...
러시아사람 같은 스타일은 무슨 성향이야?
얘 유형 뭘까?ㅡ
나는 한번 연애하면 오래하는 스타일이거든?
인프제랑 잇프피 연인으로서 행복할수 있을까
m성향이 강하면 어떡함?
내mbti알고 젤 재밌었던점은 본래부터 인프제에 끌렸단거
친구가 있어도 없는 느낌
N성향이 강해서 그런지 단정짓는 글이 많아 보이네
"세상의 균형은 이뤄져야한다,,"
고닉으로 다시 와슴 ㅎㅇ
우는거 들켰더니
새벽에 열 나서 병원 갔다 왔어
한국인 특징이 너무 천박하고 속물적이야.
이번년도는 참 바쁘게 산거같음
S와 N의 차이일까?
여긴 생각보다 연애 많이하나보네
코로나 왜이렇게 많이걸릴까
얼버기
자랑글 하나만 쓸께
녹음물
인프제들 원래 통화 오래하냐
"결과와 의도,과정"
하 내 남친 인프제인데 플라토닉 러브가 좋대
좋아하는 사람 생겼어
연애에 대한 고민
왜 아버지는 날 못마땅해하실까
나도 사진찍었던거 올릴래
선물하는 것도 괜찮은지 물어보고 하게 되는 듯
인프제는 뭘해도 오해는 기본이니까 ㅋ
짭프제 검거
우리집의 비밀
절대 안헤어질거같던 친구도 헤어지고 새 연애 하네
유형별 말 안하는 이유(내향)
수능 본 친구들
홧김에 연락 끊는거 후회할수도 있음
너넨 힘들면 뭐하니(데이터주의)
가스라이팅이라는 단어 막 쓰는거 좀 그렇네
자자 퇴근시간까지 버텨봅세
내가 인프제인걸 깨달았을때가 가장 고민 많았음
난 8년차 연애중인 인프제인데 달달 연애 오랫동안 유지하는 꿀팁준다.
다들 화이팅
이렇게 돈 아까운 책은 처음이다
허 크리스마스 다되간다고 투정부리긴
여기 완장들 살짝 맛탱이가 간거같음
그냥 그런게 나인거겠지 
생일 크리스마스 연말 이럴때
"난 친구 엄청많음,"
나는 외향적이다
난 크리스마스 혼자 보내고싶음.
너네 친구 많네
인프제라서 난 불행하다고 생각하는데
그 친구는 잘살고 있다 라는 말이 ㅈㄴ웃긴게
인프제가 거의 없는이유가 다들 세상의 진실을 알아서 ㅈㅅ많이 해서 그럼
너랑 잴 가까운 유형 뭐임
p는 j가 답답하다기보단 부담스러운 듯
어우 J 너무 없으면 답답함 유발하는듯
자살시도를 했던 INFJ 친구이야기.
크리스마스 정모.
여기 너네 개인싸들인데 크리스마스 혼자보내?
크리스마스에 혼자 호캉스간다 
일기에 머릿속에서 생각하던거 적는디
잠재력 테스트 결과
테스트들 무지 많네 나도 테스트 결과
잠재력테스트~
안녕하세요
이런 곳이 있다는 걸 처음 알았는데
구라치지마. 인프제에게 친구가4명 이상은 다 구라야
안녕 나 ENFP남인데 INFJ여자애가
인프제는 이런 디자인 어때?
문구각인 펜 샀음ㅎㅎ
진짜 극과극은 통하나
잠재력 테스트
나는 내 운명의 주인
평안과 발전은 공존 할 수 있다고 생각해...?
아
인프제들아 너넨 친구 몇이나있어?
예전에 mbti 테스트 했던 것중에서 제일 인상깊었던 게
인프제 친구만들기 너무 힘들어
다시 시작하는 게 참 힘들다
얘들아 사랑해.. ㅠㅠ
수능 보는 갤러들 힘내
너네들 주사가 어떻게 되냐?
"방구석 취미생활 Day14 중국어인강,울트라러닝 완료"
나 이런 익게? 처음인데 성향이 맞아서 그런가 너무 좋네
떨리네 처음도 아닌데
나 여기맘에드는데
이성관계 대시할 때 이런 저런 제약 두는게 이해가 안 가지 않냐?
통찰력에 관한 뻘글
1일차 인프제갤 견학결과
통찰력 좋은 인프제는 무서울정도던데
INFJ 들은 깜빡이 안키고 들어오면 혐오해?
나는 너무 나약해
책을 읽고 있는데 말이야
간단히 만드는 저녁요리(4) - 참치폭탄 김치찌개
싸울때 들었던말
전역을 4일 앞두고 드는 생각
난 사람 사이의 깊은 관계를 중요시 하는데
나 회피형성격인데 나도 싫다
이거 존나 예쁘다 
군대.. 후임애들 잘해주다가 말년에 내가 비참해졌다(장문)
우울했을 때 들었던 노래(가사 포함)
짭프제 청소
인프제는 통찰력이 좋은건 아니라고 봄
난 관심있는 여자한테 문자와도
개인적으로 수능 전에 가장 위로됐던 말은
나의 감정을 표현하는건 어렵다
"""not special"" ""irrational"" ""INFP"""
여기는 왜 죄다 고민글이야
'잉뿌삐' 이 단어 차단해주면 안돼??
원래 혼자서 뭐 잘 안 사먹는데
가장 좋은 방법은 
"인간관계, 사회생활이 너무 힘들어"
"수능,"
인프제녀를 혼자 짝사랑하고 있어..
너네가 착각하는게 있어 연상여자한테 
요즘 갤 상황.jpg
유형이 바뀌기도 함?
아래 책 제목 이거인듯
자기비하하는 사람들과 꼰대들에게
진짜 생각이 깊은 인프제는 별로 없는 거 같음
아니 왜 인프제가 나오는데
좋은 책 한권 추천 해드립니다 ^^
오늘 아침반 인프제 갤에 명언 하나 놓고 갑니다.
조언 2행시
주딱 보아라!!
이해받고 싶거든 타인을 먼저 이해해라
본인 디씨 5년차인데도 모든 갤에서 아싸 유동임
좋은 아침
히키코모리가 뭐야?
dc처음해봄
인프제보고 유독 음침하다고 하는걸까??
얻어먹는 거 못 하는 사람 있냐
아까 대학고민 질문 했던사람인데 답변해주신분 감사합니다
뭐여 다들 은둔경험 있었음?
이맘때쯤 드는 생각인데
외롭다...ㅠㅠ
말 잘하고 싶다
그래도 여기 신기한 곳이야
ㄹㅇ 정신병자가 갤에 상주하는구나
내가 이 갤을 좋아하는 이유
몹시도 괴롭구나
얘들아 위경련이 약하게 오기도 하냐
"방구석 취미생활 Day13 중국어, 울트라러닝"
철학자 기질이 있는 사람
먼저 번호따는 건 왜 그런거야
볼 사이도 아닌데 계속 톡 거는 애 너무 부담스럽다
언제부터 갤 분위기 이따위로 물들었냐?
엔팁 원래 싫어했지
나 인프제인데 히비스커스네..?
엔팁들 묘하게 인프제에 관심이 많다니까
ㅋㅋㅋㅋ
찐따갤 아니랄까봐 게이썰에 폭발적 반응보소 ㅋㅋ
수능 2일 앞둔 고3입니다..(많이 진지)
씨발 친구새끼가 지 동성애자였다고 털어놨는데
진짜 E되고싶다...
나 하고 싶은게 생겼어 
잘못을 했으면
인프제남에 대해 고민이야
뒷담 까는거 너무 싫다
성인되서 처음으로 피아노 배우는 사람?
나는 모든 사람과 친해질 필요가 없다는 말을 잘 모르겠어.
서울 잡히고 나니 지방 집값이 미친듯이 오르는데
외향 내향 아직도 헷갈려  
모함하는 뒷담화를 들었을 때 인프제의 반응
짝남이 인프제인데
반반치킨들이 선민의식이 짭프제다 이런 소릴 하지
내 고민 좀 들어줄래..
수능치는 인프제들 우울한 마음 가지지 말고 모두 화이팅!
내 가슴을 후벼팠던 문장
너넨 다 잘할꺼야
직업 고민이다
전신문신 한 애들도 이제부터는 현역 간다네
나는 분명 잘하는게 있을거 같은데 어떻게 찾을까?
소수자가 권력을 잡고 뒤흔드는 건 참을수가 없다
가상인물 MBTI는 어케 나오는거임?
외향감정이란 무엇인가
혹시 너네도 친구 만날때
나는 단단한 사람인가
여긴 여전하구만.
뭐지... 4년동안 검사할때마다 infj로 계속 나왔는데요
선민의식☞짭프제
아 본좌는 결국 틀을 깨고 나왔노라
주문하신 시 나왔읍니다
소소한 행복
필사 할 문장 추천받아용
그냥 이야기
이성 고민이 너무 많아
(고찰이지만 장문은 아님)엔프제와 인프제는
선민의식가진 일부 짭프제
mbti가 짝사랑 전략 세우기에 도움이 되었어
ㅋㅋ인푸제 클레임 은근 많은거같아
freak 비트위에 랩해봄
인프제녀들 모순
INFJ 남자들아 좋아하거나 아끼는 사람한테 어떻게하는편이야?
나만 사람 급 매겨?
인생영화 뭐야??
엔팁갤 파딱 인프제임
인프제 눈나..
너네는 어떤 사람이 되고싶어??
나한테 왜 안 죽고 사냐고 묻는다면
인프제남들 잘생긴 사람 손들어 봐요
내가 느낌 인프제의 이상형은
