intp_mbti
제목
제목에 닉언하지 마세요
건의사항
공지 201027
호출용
만약 자살할 거라면
최고의 이상형
니좆대로 살아도 누군가는 너를 좋게 봐줄거다
자기가 미소녀타입좋아한다
좀 어이가 없지
호불호 안갈렸던 몸매.......
사람을 믿고 싶진 않은데
호불호안갈리는 여자얼굴
또 그었어
내가 나 또는
멈춰있을 시간이 없어요
주량이?
남자들한테 가장 인기많은 여자 얼굴상
개씹좆로나종
너네 여자 찐따 본적 있냐?
intp 뭐냐
Estp친구보면서느낀거
이발병들은 내 생각보다 조금씩만 자르더라
Estp랑 베픈데
집은 산악인으로 말하자면 베이스캠프라고 말이야
인생한탄 자살 갤러리
친구가 씹인싼데
나한테 정신병이있다면
섹스섹스섹스섹스
아악
난 아무도 못 믿음
월 180버는데
나는 intp infp 존경함
인생따위 엿이나 먹어라
주량이?
주황 국물 흘리는 만두콘
인생 정말 허무하다
삶이 왤캐 공허하냐 좆같다 진짜로
이름도 속이고 나이도 속이고
미용실 개기튼년들 왜 맨날 잘라달라는거에서 더 잘라놓냐ㅋㅋ 
뒈지기전에 좋아하는 가수 콘서트 최고좋은 자리에서 즐길 수 있다면
손목 긋고 싶다
휴대폰 보는 것도 질린다
나랑 tmi 비슷한 사람 있냐
나만 이런 영상 좋아하냐???
기숙학교에서 범죄 저지르는 꿈 꿨음
유튜버들 중에 얼굴 공개 안하고도 구독자 몇십만씩 되는 사람들 있던데
눈 언제내리노
Sky입학vs연예인이나 유튜버 돼서 돈 존나 벌기
사람 만날때 마다 드는생각
ㅍㅌㅊ고졸vs존잘sky
자아가 강해서
인팁특
저새끼는 그냥 '넌 진심으로 좋아했던 게 아니야~ 넌 차인 게 아니야~'
잠깐있어도 많은 감정을 느낀다
인팁갤이 좆비티아이 핵심정보 제일 많음 
뉴스에 논술ㅆㄷㅅㅂㅅㅂㅅ
이런 경우는 뭐냐?
적당한 스트레스는 필요하다
나약한 것 ㅉㅉㅉㅉㅉㅉㅉㅉㅉㅈ
강인함이 지나치게 약하다
유튜브 채널 추천
고1때 담배 폈다가 끊었는데
술먹고싶다. 진짜 너무 술먹고싶다
유튜브 누구 보냐
항상 느끼는데 애매한 애들이 주로 꼴깝을 떰
이런 세상으로 가고싶다
요즘 자기관리 하는 중
퇴근한 후기
맥주 8캔 사다놓고 낮에 4캔 마시고 밤에 4캔마시려했는데
힙찔이들 싫어해서 쇼미더머니 안보는데 원슈타인은 호감
여친이 변비걸리면 항문섹스가 답인듯
인팁의 단점
이베리코 먹어보고싶다던 유동 먹었으려나
이게 보아래...
효율적인 행동인지 이기적인 행동인지
이게 씨발 왜 정지야
스카이민혁이 호감인데 미란이 올라간거 뭐냐??
웩슬러 갤 가면 열등감 충전됨
너네 미신 같은거 믿냐
돼지고기 김치찜 먹고 싶당
인팁용 영화 추천
실검상태 왜이러냐
권총이랑 일본도랑 싸우면 누가이김?????
서양애들 대체로 잘생기고 예쁜데
권총은 간지용이다
좋는건 갗치보자
디카프리오보다 잘생긴
머냐 인팁 공감능력 높네(Fe)
역대 최고의 미남배우 누구?
그게 나쁘다는 말이 아니야
1년반만의 개찐따 방구석번데기 삶을 끝내고
intp 부럽다 ㄹㅇ..
업소 여자랑 사귀고 싶노
카사노바vs꽃뱀
사람마음 가지고 노는 년
씨발갑 너무 뜬금없이 뒤짐
갓건배 estp 이었네
남자 마음 갖고 노는 년들은 진짜 패죽여야함.
뭐 터지면 바로 자살하는 사람 대단함
"남 비꼬기, 조소하기, 까기, 냉소하기 너모 재밌는데 어카냐?"
나는 esfp같은 애들이 좋음
조지 플루이드
컴푸터 고쳣다
원래 장례식은 대부분 호사로 치는거 아니냐
헤어진 뒤 프사 걱정
이해불가
대한민국 3대 좆도 아무나도르
절망에 관하여
자살에 관하여
대한민국 3대 아무나도르
트로트 힙합 다음은 보컬로이드
멘토스 3알 그냥 삼키고 바로 콜라 마시면 어떻게 됨?
사실 트로트 힙합이라서 보는게 아니라
인간이 시련을 겪게되면
씹팁끼리는 서로 선 그어서 깊게는 못친해질듯
예의바른 이기주의자가 최고임.
밸런스 게임
힙합 > 트로트 다음 유행 장르는 뭐냐
미스터트롯새끼들 진짜 노래 잘하는 가수들이랑 같이 부르니까
본인 이번에 철구 욕먹는거
잇지는 왜 좋아하는지 잘 모르겠다
너넨 인팁이랑 친하냐
태어났는데 애비가 철구면 무슨기분?
싸가지없어도 맞는 말만 하는 사람은 비호감이 아닌데
자고 일어나면 외롭
주급 3억 세금떼면 1.5억
난 너네도 싫어
300억 있으면
sympahty 와 empathy의 차이 인상 깊었는데
남잔데 예쁜여자들 보면 부러운 심리 이해 ㄱㄴ?
손흥민 주급 3억 ㄷㄷ
강남이나 서울이나 집값 별로 차이안나는데
세상에 맘에 드는게 없는데 정상?
캠핑카 요트 개인주택
잘생겼는데 착하면 존나 호구같아 보이고 
총들고 사람들 학살하는 꿈꿨음
돈존나게만으면
카톡에 개구리 이모티콘 안나오냐
요즘 어떤 연예인이 젤 예쁘냐
한 200억 있다치면
나도 여자로 태어나서
"예쁜데 착하면 존나 부럽고 기분 좆같아짐, 어울리기 싫음."
내 이모티콘 취향은 이거
난 로또 200억 당첨되도
너네한테만 말하는 내 취미
난 돈이 아무리 많아도 기부 안 할거야
세상에 왤캐 좆같고 싫은게 많냐 아오 씨발
존예인데 고졸vs평범하게 생겼는데 sky
예쁜건 특별한건데
난 여자로 태어나고 싶었어
예쁘면 ㄱㅊ ㅇㅈㄹ하는 애들 존나 병신같음
말 뒤에 느낌표 붙이는것도 좆같던데
인프피에게 공감이란 과몰입임
개좆극혐 1선발
근데 ㅈㄴ웃기긴하네
난 그냥 이런 저능아 갤러리에서 보고 배워야겠다
나도 인프피같은 이모티콘 하나 있음
인팁짤
인프피 혐오하는 거 존웃
집에서 팬티 입는 사람이 ㄹㅇ있냐?
인팁의 계획
나는 여자들 혀굴리고 귀여운척하고 연약한 척하고 그런거
진짜 생각이 깊다는게 느껴지는
님들 하루에 어느정도 공부하심?
미자 술담배 어케 생각함
나보고 왤캐 부정적이냐고 하는데 뭐 어캄;;;
할카스 얘기 stop
얘들아
할카스에대한 충격적인 사실.....sasil
할카스
요새 카피바라가 유행인가봐
우정 권태기 아냐????
솔직히 할카스 어느정도 적응은 된듯
공포영화 봐도 1도 안무서운데 나만 그럼?
사회성 박살났는데 누가구제좀 해주라...
슴가 만지고 싶다
양꼬치에 맥주 땡기러 가야하는데
"요즘 유튜브로 무한도전,1박2일 보고있는데"
enfp
intp 신기함 연구대상임
아시발
한국 육상 꿈나무들
이렇게는 못살아.......
군것질 >> 안하는게 제일 좋겠지만
7시간 풀로 공부하고 온다
"자살을 거꾸로하면 ""살자"" 라니........."
찌찌 만지고싶다
"그것이 알고싶다 맨홀사건, 엽기토끼사건, 기동슈퍼사건"
아까 엘베기다리고있는데 어떤 아지매가 뒤에서
아쿠아맨 재밌네 ㅁㅊㅋㅋ
커뮤니티중독은 어떤 것의 지표라고 볼 수 있을까
너희 고어물 잘 보냐
얘 왜 이러는 거냐????
자.살마려
최고의 디시콘 찾음
인팁한테 선물 뭐줄지 고민하는것들 봐라
테넷 어떰
잇팁갤 아직도 피싸개 갤임?
한달 200이면 혼자 살기에 충분하다고 봄????
인티제는 인팁보다 잇팁하고 더 비슷한것 같음
고1 남자 인팁 생일선물 뭐가 좋을까?
옛날글에서 찾아옴.
짤같은 강아지라면 자식같이 키우기 가능
지능 낮은 인팁 극혐
재능을 살려서 한달에 100마넌만벌고 살고싶다.
나도 J가 되고싶다
수조에 해파리 담아서 구경하고싶다
난 동물이 싫진않은데 굳이 왜 키우는지 ㄹㅇ이해안감
니들 일본이랑 중국중에 유학 간다하면
유희왕 듀얼링크스 해봐라 개꿀잼이다
인도여행 보내준다 하면 가냐?
혼자 여행을 다니면 견문에 별 도움이 안되겠네
하악하악
니들 몇시간까지 집중 가능하냐
인팁도 계획함
시험기간에만 intj되고 싶다
인팁들 컨셉잡고 사는 사람 많은듯
문재인 mbti뭘까
mbti 처음 개발한놈 mbti가 뭐임?
첫끼 뭐먹을까
사소한거 하나도 나한텐 유의미한도전
이거 왜 j p는 없음?
처녀드립치는 병신들 모가지 따고싶노
‘P’싸개 새키들아 다 덤벼
시험 일주일 남았다
점심 추천 부탁
남자는 옷 입은 위로 몸매 파악 잘 안되잖아
솔직히 윤도영 갤 닫고 수강료 먹튀한거 좆같으면 개추
내가 컴퓨터고칠거야
모든 유형의 장점만 모은 유형임
마블 dc << 디지몬
p만 있는 세상이면 어케됨?
7살 연상이면 좀 큰가
데이트하러 가는중인데 설사마렵다
이런몸은 머라부름
비슷한 내용으로 여러번 글 쓰면 저절로 정리될듯
틀딱들틀니시발
콜드브루 << 이런거 왜 마심
두서있는 생각을 할 수가 없음.
인팁이면서 B형인 애들이 ㄹㅇ찐인팁
독서 무용론이라는것도 있냐 ㅋㅋㅋㅋㅋㅋ
intp는 거의 다 이과일듯
결국 책 무용론이라는 단어를 사용한다는 것은...
질문 하나더 
스스로의 생각을 검증하지 않는 것에 대해
독서 무용론이 반박할 가치도 없는 씹소리인 이유
책 무용론
겨울만되면 입술뜯는게 너무 재밌음
책 무용론에 대해 어떻게 생각해 
크
흑흑 헛똑똑이라 들은지 수십년...
이거 한번 봐라
가끔씩 꽉 막힌 내 모습은 정말 S적인 걸까?
F가 무엇인가
책을 읽으면 뇌구조가 변한다는 사실
Intp가 정확히 뭐임
이런 감성 좋은듯
인팁갤에서 내가 진리탐구를 제일 많이 할듯
intj가 intp 없으면 못살음
남녀 친구사이 정리
멍청함과 착함의 상관관계
멍청하면 상대적으로 착하다 동의함?
인성검사의 중요성ㄷ
여자의 감 레전드
친구가 1시간동안 안와..
진짜 개피곤하다
ISFJ 새끼들 앞뒤 개다르지 않냐
체스 잘두고싶다
난 부정선거라생각하는데 내가존1나병1신인거냐?
이는 신이라는 단어가 굉장히 모호하기 때문에 발생하는 오해인데...
ㅇㄴ 개독쉑 줘팜 마렵네
니들은 니들 자기자신에 대해서 모르던거 알아낸 적 있냐
나도 늙은건가
안녕하세요
나랑 내 친구는 아침일찍 약속 잡으면
엿보기 구멍은 인정이지...
디다
과학에도 철학이 숨겨져있다는걸.
내가 옛적 유동시절 인팁갤에서 종교 질문을 했는데
나 아동성범죄자 조두순 좋아하는데 불만있으면 나랑 현피나 뜨자 ㅋㅋ
지듣노
흠....
뒷북인데 엠그램
보닌은 무교지만
지듣노
안농 놀러옴
떡밥이 신의 존재유무가 아니였음
너네로마표기법 모름?
책읽어보라는건 정말 나약한소리인거같음.
종교로 싸우는게
모태신앙이고 아직도 매주 예배드리는데 안 믿어
지금 무신론 vs 가톨릭 요래 싸우는겨?
파딱이 있냐? 
무신론자들이 더 멍청한 새끼들많은듯
나 그래도 머학은 나쁘지 않은곳 다니는데
씨발 종교믿는거말하니깐 아몰랑 너광신도야 이러는거 ㅈㄴ 웃기너
기독교 떡밥올린 게이 봐라
얘기하는 거 좋음
자야하는데
유튜브에 도킨스가 종교쟁이랑 2시간?토론하는 영상있음.
얘들아 나 천재 아닐까?
옛날에 도킨스랑 종교쟁이 1대1토론 한적있는데.
나 초딩때 팔뚝에 연필심 박혔는데
비정상이란것은 없습니다.
제대로 사는게 뭔데?
그림 심리.
간다 나중에 보자
사실 앞으로 제대로 살려면 커뮤 끊어야 할 것 같은데
속이 계속 울렁 거린다
내 특징
우울한 감정을 계속 털어놓을 수 있는 곳은 없을까
노래방 애창곡 뭐임
3시간째 벤치다
지듣노
이거 아니
내 글에 비추 누르는 애 누구냐
의외로 인팁이 감성적인듯
일본 유학 보내준다 하면 갈 거임?
엿보기 구멍 보는데 여주인공 짠하다
엔팁친구 엠그렘이야
솔직히 윤도영 좆같으면 개추
언제 잘 거냐
애미그램 테스트 이상한 점
니네 어몽어스 잘하냐?
엠그램 말 ㅈㄴ 많네
취급
인팁들은
나도어두운면테스투
보닌 허니버터칩 한 7박스 먹고 질림.
이거 내가 죽을 죄를 지은 거임?
생각이 많으면 일을 해봐
어두운면테스트
mgram 
사용설띵서.
진짜 질리지만 않으면 인생이 훨씬 행복할텐데 
안 자는 사람 이거 해봐 
성격 엄청 바뀌었네
엠그램
분석 결과
인생을 한 단어나 문장으로 정의해봐
닥치고 수능국어는 김승리다 
사랑의 힘이 큰듯
나도 해봄
기독교 떡밥정리
무인도에 사람 10명과 함께 떨어졌어
님들도 이 테스트 해주
통찰력까진 모르겠는데
갤이 조용해
너가 너무 좋아하는 사람이 있는데
내년에 수능 보는 사람
흑흑
내 n성향은 안 좋은 쪽으로 발달했구나
전기톱으로 썰어죽이고 1억받기vs
내가 좋아하는 사람 모형 리얼돌이랑 살기vs
니들 1억 준다하면
집 냉장고에 사람 대가리 넣어두면 월세 반값vs
피방이랑 편의점중에
내가 밸런스 조절 잘못했네
알바 골라줘라
인팁들은 커뮤같은데서 무슨 글 씀?
배고프다
걍
성격 씹창난 룸메랑 같이 살기vs
ㅋㅋ 이거 와이리 웃기노
망가 다봤다
ㅋㅋ
가부장적 아버지 
선천적 싸패 정상인 만들기 가능하냐
목젖은 남자한테만 달렸으니
막댓사수.gif
미안하다
난 그림을 그리면 언제나 사람이 한명이야
완장이 나서서 떡밥 풀고 놀아야한다는 의견은 또
나 7살때 했던 상상인데
내가 싫어하는 두 사람이 있는데
본인 살면서 억울했던 기억 중 하나.
뭔 우울증 갤이냐?
나 이상한 상상하고
자해할 거면 안 보이는 곳에 하셈
인팁갤 공감
시
나 방금 이런 상상했어
내가 진짜 자식을 가지는것에 고민하는건 
자퇴할까 생각중인데
내년엔 지금쓰고 있는 아이폰부터 폐기처분할 예정
우리 가정은 행복한 가정인가
행복한 가정에서 긍정적인 아이가 나오지 
니네 ㅊㄱ 보는 사람 있냐?
이런 부정적인 갤러리를 봤나
현실 속 유물론과 관념론의 차이점
나는 편견없는 사람이야
방금 집 나옴
오 재밌는 망가 하나 찾았다
자식에게 좋은거만주고싶은데
ㅋㅋㅋㅋㅋㅋㅋ아쪽팔려ㅕㅕㅕㅕ
intp가 인간관계가 대체적으로 원활하지 못한다던데
다른 건 극단적이고 그나마 t f가 중립
나만큼 하타치 인생 사는 사람 있냐
애초에 식사는 배고플때 하는거지
자식에 양육방식에 고민하고 
mbti 단거 한번쯤은 뜰쭐알았는데
이런 여자친구와 연말을 보내면 어떨까?
나는 공포를 잘 느끼지 않는다고 생각해왔다
 남친구하는 여성분 필독
엄마가 나보고 죽으라한 이유
내가 슬픔을 느꼈는데 
나도 고닉팔까
엄마가 나보고 목매달아 죽으래
근데 보통 한 두 마디 나눠보면
intp남 짝사랑중
솔직히 나같은 애랑 친구하고 싶냐 안 하고 싶냐
아 어느집인진 모륻겟는데 애정행각하네
내일 계획
편 ㅡ안
너넨 이 말이 해석이 힘드냐
나만의 인간관계를 갖는것도 괜찮을거 같다
시
열을 내며 논쟁할 상대는 인간이 아니라 글과 세상이다
a의 부정은 b가 아니다
원하는 날짜의 글만 보게하는거 없냐
환경이 지능에 미치는 영향이 크다니까
자러감ㅂ
저능아들 유입마니됬네
밑에 지능 관련 글 보고 드는 생각
j는 고집쎄고 꼰대많음
유형별 지능 영향
카톡 너무 불편
가정환경이 좋다고 지능이 높은 게 아니다
지능검사 받고나서 고지능관련 논문만
난 어떤 가정환경에서 자라온거냐
추리소설 읽냐
어렸을때 가정환경이 지능 영향을
눈 평가좀..객관적으로 ㅁㅌㅊ?
쿠키런 성격테스트
그.. 내가 누군가를 좋아한다는 사실이
지능에 영향을 끼치는 mbti 유형 순
인팁은 좀 극과극임
아 흥분되서 못잔다 진짜
