isfp
제목
신고용 글
요즘 인터넷 보기가 싫다
잇프피녀랑 친해지는 방법좀ㅠ
잇프피 남자랑 친해지는 방법없어?
나만 그런지 모르겠는데 이해득실 엄청따짐
인티제지만 잇프피 되고 싶음
내 인간관계가 너무 웃기다
잇프피녀한테 집착하고 싶은데 안젛아하겠지?
자기들이 안착하다고 믿는거 자체가 존나 착한거지ㅋㅋ
엥 아닌데
대학친구는 비즈니스야
잇프피는 남자가 많아 여자가 많아
ㅋㅋ 구구절절 썼지만 사실 구라임
너네 맨날 자기는 안착하다 이러는데
갓직히 isfp에 학폭 가해자 좀 있음
의심 개많은거 나뿐인가
야 잇프피들아 물어볼거
엔프제남 오늘 연락하는 잇프피만났거든
너네도 갑자기 권태기 오고 그래?
난 s가 너무 싫음
간간히 갤 들어올때마다 기분이 좀 나아지는 것 같애
호감있는 애가 깊티 보내줬는데
Isfp랑 infp 왓다갓다하는데
손절한 친구가 자꾸 생각남
니네도 친해지기 힘들었다는 소리 들음?
고민이 있어
스트레스받으면 징징대는데 어떻게고쳐
분명 MBTI할땐 ISFP인데
Isfp 썸녀에게 전화가 오다니!
너네들 낯가림?
잇프피 답답한이유 개인적인 생각
구라네
썸 mbti
너네는 무기력할 때 어떻게 해?
잇붕이들아 님들은 직업 뭐임?
과제때문에 책읽어야하는데 집중이 안된다
너넨 가장 힘들고 죽고싶을때가 언제니
난플레이리스트 하기 귀찮더라
여신강림 작가도 isfp구나
잇프피남은 나도 어떻게 꼬셔야될지 모르겠음
난 esfj가 되고싶다.
나는 지금까지 내가 성격이 이상한 줄 알았는데
SJ SP NF NT 단점 
좋아하는 남자가 하는 커뮤를 찾앗는데 
"한 주 잘버텼당, 좋은 주말돼랑~"
집정리할때 다 버려버리는 타입있나?
ISFP 남친 시험 전날인데
어제 친구랑 오랜만에 두시간 통화했다.
죽음 = 영원한 잠이라면
갑자기 옛날 드라마 꽂혀서 계속 보다 이제잔다..
잇프피 남자들 성욕 업냐..?
읽기가 무섭다
진짜 속상해서 미치겠네
이거 혹시 그린 라이트야?
Isfp들아 이거 왜 이러는건지 좀 말해줘
나만큼 다이어리 안 쓴 사람 있냐
이게 대체 뭔 상황일까..
가족들 꽃테스트 한 걸로 mbti 추측해봤는데
동성친구랑 한 카톡
잇프피들아 왜 대화 중에 다른거 하니 
진짜 나는 세상에서 잇픕남이 젤루 신기함
평소엔 안그런데 자려고만 하면 외로워져
