entp
제목
영구차단목록
공지사항 (20.10.14)
친목행위 관련 제재 기준입니다.
공지사항 (20.10.30)
핫산 호출기
여러갤 의견
건의사항
아니 차단이고뭐고ㅋㅋㅋ 글도읽고 멋글도잋ㄱ었는데
주딱 정체 알아냄
늙병03을 주딱으로
사람이 쉴드 쳐줄 수 있는 분위기 만들면 슬슬 눈치 채야지 ㅋㅋㅋㅋ
진짜 씨발 오만정 다떨어지네
ㅋㅋ 안녕
걍 어떤 식인지 알겠고요
모두 갤질은 하고싶고 차단은 싫은거잖아?
걍오늘텐텐7개먹음
진짜 적당히해야지 ㅅㅂ
심증 차단
쇼미떡밥굴ㅈ릴래 ㅅㅂ
주딱아 그 글삭이 옳아?
욕설관련 계속 쌉치는 병신새끼에게
제발세줄요약좀
상황 이해 안되거든?
하존1나오래싸우네
나 방금와서 상황파악 안되는데
그러니까 내 주장은 이거야
욕설이라서 욕설차단했는데
이게 욕설 차단에 대한 해명이야?
혹시 일본호텔 감성 느끼고 싶은 사람
잠재력테스트 ㅁㅌㅊ? 
주딱아 공지 그냥 이런식으로 바꾸자 ㅋㅋㅋㅋㅋㅋㅋ
정보) 문재인
나 먹는 약 중에 탄산리튬이 있는데
근데 이해 안가는데
아직 남아있는 것
아 ㅆㅂ 나도 주딱글 읽고싶다
Entp 유명인 누구있어?
재수생이 학원 조교 하는거 어떻게생각함
주딱은 결국
"""너 나사랑해?"""
이번 폭동 일어난 이유
오픈채팅방은 명백한 규정 위반입니다
사실 지금 주딱도 유동으로 시위 하는중임
일본은 물상과학에 투자한 지 80년이 넘어서야 성과가 보이는데
그냥 지금이라도
솔직히 주딱도 나름 잘 하려고 하다가 이렇게 된 거 아니냐
아근데 이과 10번문제가 왜 문과 28번이냐
여기 엠비티아이 갤중에 젤 건강한듯
나 어제 무슨일있었는지 얘기하러 왔는데
그냥 주딱이 이 짤 올리고 사과하고 끝내자
죄송한데 한 마디만 해도 될까요?
내가 뭐랬냐 적당히 끝내라고 했잖아
맘에 안 들면 별이유없이 벤 먹일 때부터 알아봄
여러분 모두 회개하세요
(호기심)이건 진짜 리얼로 궁금해서 물어보는건데
걍 주딱저주셈
걍 이미돌아올수없는강을건넘
저를 주딱으로 추천합니다
이번 사건 관련되서 건의할게 있습니다
난 지금 상황보다는
아 집중이 안 된다 
