enfj
제목
ENFJ 엔프제 성격유형
성숙한 마음
Enfj들아 이거 조아하는 거 마자 ???
공감능력 없다는말을 들음...
enfj 밈 (번역 X)
선긋기 방어기제 말야
나 엔프젠데
나만 위로건네는말 싫어하냐?
너희들 청소하는거 좋아하냐 
너네를 좋아하는 사람 많을거 같은데
이상형
대인지향적으로 살아야해
오빠 수능인데
엔프제 걍이것저것 셀털좀하고갈게
(꼰대주의)라떼는 말이여... 
엔프제 남자인데 (고민글)
너희는 ENFJ 본 적 있어?
엔프제는 진짜 희귀유형이구나
엔프제들 질문있어!! (장문주의)
엔프제들아 고민 해결법 알려준다
나만 이러는건지 모르겠는데
고민이야
나도 내 마음을 모르겠어...
엔프제분들 친구가 갑자기 전화하고 그러면 기분 안나빠하나요??
 다들 인내심은 어찌 됨?
니넨 인프피 인프제 두 유형 중
너네들 참 묘해
enfj 를 혐오 하는 사람들에게 하고싶은말
선 긋기는 방어기제임.
estp가 보는 enfj
엔프제님들아 너희한테 호감있어보였던 상대가 갑자기
인프피가 놀러왔어요
열어분도 카톡 골라서읽고 그러나요
Enfj 남자들아 다혈질 여자 많이 힘들어?
너넨 이럴때 어케해??
"고삼 고민 들어주실 수 있나요,,"
특별하게 더 좋은 사람을 대할때 차이가 있어?
엔프제갤 공지.
그냥 뻘글임
enfj 정치성향 설문
엔프제들아 이거 나한테 호감있다는거야 ?
너희는 어찌 생각하니?
님들아 님들아 타 유형인데 내 내향성에 대한 질문이 있음
우리 학교선생님중에 엔프제있는데
요즘 좀 버겁다
나 헷갈린ㄴ다
인프피랑 찰떡궁합이라고 하잖아
난 엔프제가 아닌걸까..
나 좀 웃긴 엔프제인듯
가면 쓰고 있는 거 같은 느낌
난 엔프제 미녀가 남자 선택하는거 몇번 봤는데
ENTJ에서 ENFJ로 바뀐 사람?
니가 쓴 가면처럼 선한 엔프제인 줄 알았는데 
헤어졌다
인스타 잘알 있어?
"얘들아, enfp 여자면 어떠냐?"
꽃테스트 뒷북!!
엔프제 여기왜케 조용해?
엔프제 고백받으면
Entj여자한테 호감어떻게표혐해야돼?
펭수 enfj 같음
나 엠비티아이 이건데ㅠㅠ
나도 엔프제 만나보고 싶다
여기 질문해도됨?
아 노래 랜덤듣기 하다가 첫사랑 생각나서 썰 풀어봄
enfj 팩폭에 관리하는 관계에선 권위주의적이라는거 동의해?
너무 신기해
