enfp
제목
꼭 읽어주세요. ENFP 엔프피 갤러리 통합공지
ENFP갤에 고민상담 하러 오신 타유형 분들께
문제상황 생기면 이 글에 댓글 달아주세요.
요즘 즐겨보는 유툽
지식인 답글이 안 달린다.....
군대 다녀온 엔프피들 조언좀해주라
좀 힘들때
인티제인데 엔프피 조아함
씨발ㅋㅋㅋㅋ 나어제 새벽감성에 이거 올릴뻔함
이미 관계끝난 사람이 자꾸 찾아가면 enfp들은 싫어할까
난 아직도 enfp의 마음을 모르겠음...
푹신하고 귀여운 인형 하나만 있으면 삶의 질이 올라간다
니네 같이 노는거 몇명까지 좋냐
엠비티아이 맨날 바뀌는데 엔프피갤만 하는 이유
인팁 좋아해본 적 있는 사람? 
학원알바순이
잇티제 어떠냐?
얘들아 오랜만에 아는친구한테 안부차 디엠보냈는데
지브리 애니는 왤케 해피엔딩이어도 슬프냐.... 하....
주변인들에게 고맙다
엔프피랑 점점 친해지고 있는 거 같아서 기쁘다
아 엔프피 되고 싶다
살면서 처음으로 싫어하는 사람이 생김;;
나자신을 증명하는게 지침
나 아직 엔프피일까?
인싸 엥푸피들... 난 인싸중의아싸라는말이 찰떡인
하울 움직이는성 봤는데 별로다
이거 인티제임 인프제임?
내가 지금 보는 영화 뭐게
여기재밌다
너희들 왕따보면 빡쳐?
난 지금도 좀 그렇고 옛날부터 윗사람이나 어른들한테 평가가 극과 극임
저 여자친구가 istp거든여
인기많고귀여운엔쁘삐는 가끔씩 곤란해
앤프피는 애정을 뿌리는게 아니라 친절과 아가페를 뿌리는건데
엔프피들 다들 나름 선이 분명하고 보수적인데
엔프피가 엔프피에 별로 관심을 안 두긴 하는데
누군가를 의식한다는게
여기서 뇌절하는 새끼들이있네
난 읽씹 안읽씹 둘다 안하는데
엔프피 장점
나랑친한얘들 전부다 앞자리 E야
ENFP여동생 있는 INTJ다
enfp는 말 하는 거 좋아하지 않나요? ㅠㅠ
ISTJ야
나 ㄹㅇ 무심한 성격임
mbti 이런거 별로 안믿었는데
밸런스게임 하자
만년필 얘기가 나와서 말인데
이런 만년필 선물 받으면 글 쓸맛 나겠어?f
Enfp 친구..
