intj
제목
INTJ 갤러리입니다.
이 세상이 소설보다 훨씬 재밌던데
좋아하는 사람에 관해선 논리적일 수가 없어
너네 평소에 휴대폰자주 사용하는편이냐
책을 많이 읽읍시다
절대자 내지 신은 없더라도 절대악은 존재하는 것 같다.
intj는 결과가 보장 돼있어야 시도하는거 같음
Entp 잠재력테스트 ㅁㅌㅊ냐
내가 종교 안 믿는 이유
종교는 믿어도 이상하고 안믿어도 이상함
무교 인티제중 종교안믿는 근거가 뭐야?
솔직히 내가 키우는 고양이 넘 이뻐서
난 왜 항상 인티제랑 잘 안되지
다음주 화요일에 서점가서 20~30만원정도 소설 살 생각인데
너희는 관심사가 뭐임?
젊은 여성들도 이제 대가리깨져서 다음 대선땐...
나는 intp이 부러오
인티제 공부스타일 특
인팁 친구 너무 무서워
잠재력 테스트
잔머리야말로 인생의 모든 것인듯
윗집 미친년 진짜로 어떡하지
intj는 학벌이 높은 사람중에 많다는데
감성적인 부분 키우려면 어떤 활동을 해야할까
우리사화는 학벌이 낮으면 바보로 봐서 아쉬움
잇팁 너무 좋다
잠재력 테스트
우리집 고양이보다 영악한 고양이 있음?
22살 까지 모쏠아다인데 나 도태된거냐?
자기가 고지능자라생각하는데 저학력있냐?
나는 디씨에서 글쓰면
intj인데 내가 좋아하는 사람이 거의 없음 
나도 잠재력했었는데
아래 테스트 통찰력 값
551
ㅅㅅ 한 번도 안 해봤는데
대인관계능력 씹창난 인티제가 궁금한거
이거 16personalities 한문판 영문판
Intj 친구와 통화
누구 죽이는 꿈을 자주 꾼다
Intj도 선톡 잘 안걸어?
조승연의 탐구생활 유튜브 넘모 잼잇음
인티제 책좋아하는건 똑같은데 문학파 안보이는건 의외노
인팁 여자 잘맞더라
해외에선 사스케가 intj가 isfp냐에 대해 분쟁이 자주일어남
이럴때 당신의 반응은?
수능 국어는 김승리다 허수련들아
솔직히 윤도영 좆같으면 개추
나 공부 일분도 안했는데 수능국어 만점나옴
(대충 비추 박고싶어지는 제목)
intj 여자가 수능끝나고 연락한다했는데 연락이 없네..?
패러독스 하나
세상 정말 좋아졌다 이런곳에서 이런사람들
사람마다 타고난 분야가 있잖아
요즘 먹는 영양제
주식투자랑 서양음악사 관련 입문서들 각각 추천좀 해줘
요즘 들어서 내가 가장 멍청한거 아닌가싶다
너네는 블루라이트 안경 어떻게 생각하냐?
니네들 짰냐?
멍청한 사람 ㅈㄴ 싫음
책장
intj로 살면서 회의감 든 점
인티제 잠재력테스트 ㅁㅌㅊ?
한번도 연애다운 연애 못해본듯
너네 부럽다
난전에사귄사람 잘잊는다
난 인프제랑 의외로 잘 맞....
인티제 책상 사진
난 가식이 싫음
인티제는 오만함
INTJ 방사진
엔프피 장점
잠재력테스트 5레벨
INTJ 방사진 인증한다 다들 이렇게해두고 살지?
얘 유형 뭘까?ㅅ
코로나 ㅅㅂ 운동 어케함
노래 발성법 질문받는다
인티제 취미 추천받음
나 iq147 intj인데 지잡대 자퇴하고 그림그려
너네 알베르 카뮈 이방인 읽어봤냐
한남이 미안해는 들어본거 같은데
난 아무생각없이 대한건데
intj 여자 공략법
솔직히 20대 너무 여자만 챙기는게 말이안됨
초딩때 좋아했던 여자애가 자꾸 꿈에 나온다
누가 쓸데없이 말거는거 존나 불편하네
수능 끝났는데 뭐할까
Intj 여자 공략법 좀
밸런스게임하자
ㅎㅌㅊ intj로 살면서 느낀점
주변 Infp 개극혐 하는데 문득 이런 생각이 든다
아 인프제 ㅈㄴ 싫다
대학생인데 공부 못해먹겠다는 동기
잠재력 테스트 다시 해 봄
자기이야기 잘안하는애들은 무슨유형임
통찰과 아이디어 스탯을 올릴만한 직업이 뭐 있냐?
3 연속 인티제만 사귀고 나서 쓰는 인티제 후기
N 이랑 J 가 55퍼면 istp 성향도 갖고있다고 보면 됨??
infp infj가 페미 제일많은유형 아님?
통찰력 ㅈㄴ낮아서 부들부들하네
사람의존재이유
혐오의 끝은 자기혐오임
수능 망했다.
난 그냥 감정이 고장나버린거같음
물어봐놓고 설명해줘도 못알아듣는새끼
intj 공략법좀
너네는 경쟁 심리 강한 편이냐?
잠재력 초반흥미밌고 나머지 지루하던데
INTX ㅌㅊㄹ ㅌㅅㅌ
페르소나 다들 뭐씀?
intj는 주식을 함 해보긴 해야지
명언 한번씩 써주고 가라
유형별 말 안하는 이유(내향)
얘들아 나 20대 초반인데 뭐해먹고 살까
INTJ로써 INTJ를 한문장으로 표현하면
형제들ㅎㅇ
잠재력 테스트
난 중고등학생때까지 일베충이었지만
현재 조건에서 이중 하나를 고른다면?
감각 67점인데 사회생활 글러먹은거임?
잠재력 테스트 있잖아
아이디어 원툴 잠재력테스트
학식 잠재력테스트 결과
나도 해봄
잠재력테스트
잠재
가끔 드는 의문인데 여자가 남자보다 감정적일까 하는 
잠재력 테스트 505
잠재력 테스트 높게 나왔다고 
 엔팁인데 인티제 남친하고 잘 사귀는 중
인간이 싫은 이유
인팁 급식충 잠재력 결과
학식 잠재력테스트 693점
잠재력 테스트 
잠재력 테스트 결과
학식 인티제 잠재력테스트 감각뭐냐ㅋㅋ
잠재력 테스트 결과
급식 INTJ 잠재력테스트 결과
자본주의 보면 게임같지않음?
학식 인티제 잠재력 테스트
30대후반 남성 절반 미혼
잠재력테스트 결과
인티제는 이런 디자인 어때?
잠재력 테스트 결과 .jpg
삼국지 연의 제갈량 씹거품임
내가 눈물 흘리는 상황이 너무 이상하지 않냐
잠재력 테스트 해봐라
인팁갤에서 넘어왔다
ISTP 인간들 어떰? 너네 특유의 분석력과 통찰력으로 
"나는 INTJ, ISTJ 반반 나옴"
INTJ는 재벌3세로 태어나거나 제갈공명급으로 밀어줘야돼
전략컨설팅이 INTJ 다니기 가장 좋은 직장 아닌가?
연예인 정자기증 현실화 될 수 있을까?
예민하다 말대꾸하지마 그냥좀넘어가
인티제 사회주의자 있나요?
 배워서 어디다 쓰냐 이런거 듣기 싫음
니들 카페인 뭐먹냐
인티제 필수 용어
왜?냐는 질문 탄압하는 인싸들 정말 싫다
INTJ '대체로' 맞는 학문 뭐가 있을까?
INTJ인데 공감잘해준다
여기만 오면 비추 박고 싶네
ENTJ ESTJ ESFP ESTP 이런애들 좆같다는 글 많은데
왜 헤어질때 구질구질하게 못놓아주는거임?
알면 알수록 허무하다
인티제 특징
요즘들어 친구들이랑 연락하는게 귀찮고 노는것도 귀찮다
연예인한테 별 관심은 없는데
intj가 의외로 순수과학이랑 안맞다는 거
잉뿌삐 욕하지 마라 시팔
나 intj 맞냐?
여행 스타일은 진짜 케바케인거 같은데
너네가 보기에 istp는 어떤 것 같냐?
인티제가 상대를 미친듯이 좋아하면 어떻게 되냐?
너네도 어장관리 하냐
ㅎㅇ
MBTI 질문중 젤 어이없는 게 여행 아님?
가면 쓰면 isfj인 것 같음
비추박는 이유 크게 세가지임
여기 상주하면서 게시글마다 비추 하나씩 박는 놈 누구야
난 8기능에서도 인티제로 뜬다
8기능에서는 잇티제로 뜨네
연애 책으로 배우는 법 없음?
나 인티제 떳는데 장점 단점 
이런 글 보면 왜 이렇게 쳐죽이고 싶냐
나는 내가 잘났다고 생각해본적 없음
INTJ로써 ISTP가 제일 이해안됨
노가다꾼들 유형이 뭘까? 
확실히 고스펙 애들이 다르긴 하더라 
화를 안내는 게 아니라 참는건데 무슨 인티제를 부처로 아네ㅋㅋ
intj는 화내는 게 아닌데 다른 사람들은 화내는 걸로 알지
네이버에
INTJ 특징
파인만 폰노이만 mbti는 뭐냐 
니네 술담배 아예 안하냐
허경영 유형 뭐같냐
Depression
너넨 조선인들의 계몽이 필요하다고 보냐?
화내서 말 듣는거도 한두번이지 나만 나쁜놈 됨
우리나라 국민성은 아직도 존나 미개하구나
intj이랑 intp 가장 큰 차이가 뭐라고 생각함??
난 한 5번 말해도 똑같이 실수하면 존나화냄
Tj들이 감정 누르는 경우가 많다고들 하던데
INTJ특
화를 내는건 건강한 감정표현 방식임
화낸다는게 나쁜 것은 아니지
정부가 2030독신여성 지원 확대검토한대
내 공감능력에대해서 
화를 내도 나한테 도움될때만 내라
좌익들 페미들이 공격적이고 무례한 이유
잇티제가 아이큐 평균은 낮아도 수능성적은 1위라는데
고등학교는 의무교육이 아니니까 졸업을 어렵게 만들어야 한다
하고싶은게 단 하나도 없고 무기력함
인간은 사회적 동물이다 떠들고 다니는 놈들 특징
니네 반골이야??
근데 자꾸 비추박는 놈 누구냐?
사람의 외면과 내면 중 어느 쪽을 더 중요시하나요?
공감능력 필요없다고 하는 사람 특
"원포올, 올포원"
너희는 아부 잘 떠냐?
갑자기 연애마렵다
왜 우리는 이상을 꿈꿀까?
우울함을 피할수없기에 즐기는편임
여기서 자기가 잘났다고 생각하는사람?
INTJ중에 진짜 찐INTJ는 찰리멍거같음
소개팅 상대랑 안맞는것 같을때 맞춰간다 vs 빠르기 끊고 딴사람소개받기
intj끼리 만나기 힘든이유
mbti 첫문항이 나를 소개함에 있어 어려움이 있냐
죽음은 인간에게 축복이라 생각함
다른거 떠나서 머리 좋으면 수학 잘함
공감(=징징대는거받아주기)
"Estp,Entp는 보지도 않고 거른다"
mbti 바뀌는 애들 쌉공감이네
잉띠제들아 안녕????
다양한 분야에 관심잇는 사람들 있나
인티제 만날수록 존나 이상형이네 
인팁 지인이 나보고 생각이 너무 많다는데
Isfj 어떻게 봄?
한국인들은 왜 당연하지 않은걸 당연하다고 생각하는걸까
학벌하고 지능하고 비례할것 같은데
페미언냐! 82키로라고 해서 화난거야?
속궁합 잘 맞는 여친 특징
EQ테스트 해봤는데
난 뼛속까지 INFJ인데 INFP친구가 젤좋아
intj지만 정신건강을 위해
서강준 INFP맞냐??
이사람 인티제일듯 
너네는 어떤 선택을 할 거냐
난 사람이랑 얘기할때 사람보단 배경에대해 생각함
인팁인데 인티제남자사귀고십워요
와 시발 ㅋㅋㅋㅋ 
퀸스갬빗 주인공이 intj라는데 너네랑 비슷함?
인티제 특)
사람을 좋아하는 방법이 뭐냐
사람들이 나를 그저 공적으로만 대해줬으면 한다
인티제 여자가 유독 많이 나오는 만화 추천
이거 테스트 정확한거 맞나
님들 표정 못 숨김?
ㅋ
난 그냥 혼자인 채로 살고 싶다
오만하기 때문에 고독을 느끼지 못한다
INFP랑 개잘맞음
너네도 꿈 꾸냐
인티제가 숨으려고 하면 어떻게 해야 도움이 될까요?
내 촉을 믿는다.
공부못하는데 INTJ가 가능함?
공감지수 테스트 높음
유부녀인티젠데 나같은 부부있음?
Big5 신경성 높은 사람 있음?
에고그램 acacc 나왔다
공감 지수 테스트 결과
"엠팍발 질문 ""애인 사이에 학력 학벌 차이나면 대화 수준 차이 나나요?"
(인티제 기준)사람들과 어울리면서 고독을 느끼지 않냐?
놀려고 만났는데 고민상담만 받다 가는 친구년들
Intp보다는 상상력이 딸리고
Intj게이들아 책추천 해준다.
mbti 바꼇다는 애들 특...jpg
"학벌 좋아도, 알수록 무능한 사람이면 엄청 별로지 않냐"
인티제 남들아 대놓고 야한 여자 어떠냐
근데 아이큐 의미 있는 거 맞냐?
어릴때부터 사람한테 존나 데이고 살았음
IQ테스트 해봤는데
근데 사람만나는게 그렇게 싫음?
intj + 서강대 vs 다른 타입으로 인싸 되기
처음 보는 사람들
여기 성비가 어떻게 됨?
나 인티제여자
학벌이 높다고 딱히 특출나게 똑똑하다고는 얘기 못함
INTP랑 INTJ랑 무슨차이냐?
눈없는 얼굴 그림 좋아하는 사람 있냐
에고그램 BCABA
착각하는게 있는데 공부는 노력한다고 잘하게 되는게 아님
난 멍청한 사람을 혐오하듯 가난한 사람을 혐오할 수 있다고 봄
난 내가 엄청 감성적이라고 생각했는데
검사하면 intj 나오긴 하는데 intj 특징 보면 나랑 안 맞음
신경쓰지마라고 말하면 꼭 확대해석하더라
밑에 페미하나 언제뒤지냐
사랑을 언제 믿냐
인티제랑 연애하는 엔프젠양 
난 허무주의에 잠식된듯
외국 뮤지컬 영상 보는데 한국인들 왜 이러냐
K-걸캅스 근황.....gif
이거나만그러냐?
인티제 여자다 이기야
국민 평균은 5등급이라는 얘기 있잖아
무식한데 설치기까지 하는 새끼가 제일 싫다
저능아 거르는 법
잔치국수먹고싶다
인티제 성향 타고난 사람들은 인싸가 될 수 없음.
니들이 생각하는 멍청한사람의 기준은 뭐임?
안녕 인티제들아
하 슬럼프 온 것 같다
많은 사람들이 허경영의 정책에 대해 착각하고 있는게 있음
"외국인 연예인, 유튜버 보면 걍 좆같음"
이 글에 비추박은 이유가 뭐임?
열심히살아야되는데점점게을러진다
니네 포옹하는거 좋아하냐
너네는 인생을 살아가는 이유가 뭐야?
각 성격 갤러리 둘러보고 있는데
나도 불건강 인티제임
불건강한 인티제 딱 나다
학벌이 뭐가 중허냐?
intj는 계속 무언가를 성취하고 싶어하는 성격이죠??
이거 인정하냐
Intj 바지 주머니에 두더지 한마리씩 넣고
